n_features,n_classes,frac_extreme,extreme_ovr,extreme_fisher,extreme_contrastive,moderate_ovr,moderate_fisher,moderate_contrastive,seed
14,4,0.1674557721582035,0.9458663269303234,0.9402465069466227,0.9409775258758359,0.7910373569400174,0.7865801557180676,0.7864899002228969,8
14,4,0.08546268953272092,0.9963221296643083,0.954825231799869,0.9967551268188575,0.7653912758593244,0.6953093051468968,0.7616280307406231,9
14,4,0.22373905917270168,0.9205193847861106,0.8874847604721952,0.9252055969827078,0.7740824017052453,0.7647769958118531,0.7734079628985374,10
14,4,0.12878215868260096,0.9715008484650811,0.9256275669456389,0.9760467160992476,0.797743900612299,0.7804628304068872,0.795149173135239,11
14,4,0.1175053314070039,0.9899787092953198,0.9421191588310409,0.9775915193378835,0.8259242602823351,0.7920398443740978,0.8244369189001107,12
14,4,0.22418082817770732,0.9810397346315394,0.9045902184360399,0.984497764475056,0.8504392875490139,0.7783818915641989,0.8471234506215717,13
14,4,0.24174362996473991,0.9041540300084926,0.891242021366146,0.9223198628612939,0.8084883182062357,0.7685744316146425,0.7971286933242174,14
14,4,0.2566892330826618,0.9763908743919669,0.9570197212767408,0.9811196920824345,0.8066110099628554,0.7858351757682276,0.7989461013045122,15
14,4,0.10510595454837686,0.9420305772855518,0.9259587415540642,0.954053626799634,0.7489196584783032,0.7310389600249344,0.7484229132895892,16
14,4,0.12300563089165412,0.9046175079035883,0.9023451391193971,0.9383453897988105,0.7797339280255045,0.7686727484781546,0.7737382018123145,17
14,4,0.1744632287630304,0.9914192971049809,0.8903955149559817,0.9903166864387243,0.8792636234873605,0.7317574256337793,0.866169301104017,18
14,4,0.09691623291143242,0.9119516762784157,0.895544006603888,0.9374570824937086,0.732104762338257,0.732530649602045,0.7362339847320585,19
14,5,0.23795038059866291,0.9586204596671357,0.9404954964332294,0.9605223222905045,0.779367051704362,0.7771660916307455,0.7737773478790886,0
14,5,0.17647428953536304,0.921901015758976,0.9218176030197716,0.9274178016501993,0.7961634848315986,0.7782148711976133,0.7966130305051276,1
14,5,0.27343486047682813,0.8879613079384399,0.8520318355079556,0.8959886728821318,0.7691123204555865,0.7546410971493452,0.7649441848534283,2
14,5,0.35712915531558553,0.9216288357021213,0.8981913444836214,0.929266952937263,0.739043528055422,0.7477605146409553,0.7486820724374683,3
14,5,0.33692153286188786,0.9263021786789176,0.8991745294333069,0.9239303582428479,0.74804513051271,0.7536405604621754,0.7387021099363386,4
14,5,0.26959236384791735,0.9447610563094768,0.9236206757028157,0.951816697719805,0.7682284315869516,0.7471255962925095,0.7552870857389783,5
14,5,0.282431004214329,0.9114833691886,0.8951177992742365,0.9198537682784043,0.749592796706678,0.7461189404746105,0.7523853635579082,6
14,5,0.27656485889797167,0.9263082840258219,0.908547073081335,0.9345856929568906,0.7790783498134509,0.7684381860037752,0.7702072084353664,7
14,5,0.19483070979663525,0.9369676511072582,0.9006864123233878,0.9358384120751468,0.7636338872628046,0.7714036637711271,0.7639830177259417,8
14,5,0.3798981913902304,0.9183986299142473,0.8724440526324642,0.9203757388394441,0.7412865183085603,0.7335049113004474,0.7391546347844857,9
14,5,0.18378308769018414,0.9397123593109831,0.9371867177016602,0.9474817805728839,0.8256330674774554,0.8210293284137691,0.8177813649117083,10
14,5,0.20072656393962926,0.8868054648766963,0.8575835528084492,0.9061028359965162,0.7488631277634098,0.7613852359380276,0.7546406890328056,11
14,5,0.46872689647447285,0.8581245492932326,0.8336854662705555,0.8789260608943408,0.7222162483016095,0.7324823111347409,0.7329140602997074,12
14,5,0.45189445486674323,0.8896336779180662,0.8794073378988714,0.8997982057018888,0.7612755337967347,0.7584585764186944,0.7542605755113385,13
14,5,0.22955199718591154,0.94360611838973,0.9275531274728482,0.9644856433893594,0.7817315399463846,0.7935521692145879,0.7750882182987635,14
14,5,0.30543533437028236,0.8877581584203144,0.8541461636960146,0.8906838377702363,0.7613346365659297,0.7583726136025333,0.7635907767064904,15
14,5,0.19639162685086015,0.898142383260968,0.8812280619338746,0.9211304745562285,0.7598546771146792,0.7830662960107873,0.7679441278178012,16
14,5,0.36704977595472277,0.8913173956525866,0.8712102676799822,0.9098414718320871,0.7587479072524683,0.7899110863441978,0.7476953630827978,17
14,5,0.28874671078876324,0.901619789559306,0.8910303634504151,0.9112518893408341,0.7825479518816489,0.7590320718790594,0.7752871603358119,18
14,5,0.25979768329622505,0.9575534630094074,0.9504656665129924,0.9604621589474178,0.7693320370082668,0.7585131848579716,0.7676988282104694,19
20,3,0.06146915490631973,0.9951413546972103,0.9588681188897136,0.9951413546972103,0.837407722036762,0.8131634067035319,0.8305236257116096,0
20,3,0.0627520841638483,0.9936907460984945,0.9577656445175025,0.9936907460984945,0.7511167687659416,0.743846403107306,0.7515597104194919,1
20,3,0.06110174367037755,0.8739681122222922,0.8791465857135605,0.8739681122222922,0.8294868172757449,0.8112387641472293,0.8257430733349092,2
20,3,0.17261663460059795,0.973200695313355,0.9487989696534328,0.9828537936570341,0.848761271906558,0.8245234448538212,0.8429922736114508,3
20,3,0.017682283510873916,0.7296711118878075,0.741459374861335,0.7448045106231376,0.7318186895174899,0.7112740879393741,0.7221379549785256,4
20,3,0.01778180887309037,0.963779353680309,0.8920081659308123,0.963779353680309,0.8087755690819991,0.750627375102332,0.8097561192697844,5
20,3,0.0704174370466248,0.9963096429789587,0.9692700646801836,1.0,0.8222491324993666,0.818212155782068,0.8226889628298999,6
