n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject,K
8,4,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8192862076668378,0.8080308099787028,0.8305316015313388,0.8159129952696054,0.8039502583204949,0.8282627882520226,0.00337321239723225,0.058258056640625,0.4857142857142857,False,
8,5,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8141080492034867,0.8012655521939809,0.825891323167892,0.8117642795715388,0.7985471874128396,0.8240675541406899,0.0023437696319479062,0.0758514404296875,0.45714285714285713,False,
14,3,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8329850869173185,0.8144683251091643,0.8509056142959778,0.8290714814738603,0.8095829516889718,0.8475068208045146,0.003913605443458279,0.0072956085205078125,0.6666666666666666,False,
14,4,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8166458988071128,0.8083470197964103,0.8252535954057054,0.8172093895970128,0.808592079023436,0.8260638625095234,-0.0005634907898999508,0.5458755493164062,-0.1619047619047619,False,
14,5,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8034307667664287,0.7943130085137265,0.8126140594174349,0.8044056599289544,0.7953331205502135,0.8132731581905285,-0.0009748931625256918,0.5958194732666016,-0.14285714285714285,False,
20,3,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8334801130060943,0.8134714189990725,0.8530320052508757,0.8297118848075142,0.8095637488909246,0.849433469920002,0.0037682281985801313,0.0001049041748046875,0.8952380952380953,True,
20,4,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8215901958741476,0.8112056303997364,0.8342429235438401,0.8232469567045163,0.8131212147900212,0.8356614140315813,-0.0016567608303686477,0.14290618896484375,-0.38095238095238093,False,
20,5,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8152217528027756,0.8062309433970295,0.8253295613705687,0.8164181911007663,0.807517539542842,0.8264833622540397,-0.0011964382979904819,0.16495704650878906,-0.3619047619047619,False,
8,3,fidelity,fisher_fidelity,contrastive_fidelity,20,0.8078695526098333,0.7893892896479404,0.8258485790048193,0.8262580775479978,0.8096967454105507,0.842261996989246,-0.018388524938164823,0.0072956085205078125,-0.6666666666666666,False,
8,4,fidelity,fisher_fidelity,contrastive_fidelity,20,0.8025398324590913,0.7847621014701354,0.821119708642236,0.8159129952696054,0.8039502583204949,0.8282627882520226,-0.013373162810514188,0.04844093322753906,-0.5047619047619047,False,
8,5,fidelity,fisher_fidelity,contrastive_fidelity,20,0.8092878510656775,0.7949658554790316,0.822128798063609,0.8117642795715388,0.7985471874128396,0.8240675541406899,-0.0024764285058614167,0.2305126190185547,-0.3142857142857143,False,
14,3,fidelity,fisher_fidelity,contrastive_fidelity,20,0.8062090458212877,0.7867506670579169,0.8254744475873276,0.8290714814738603,0.8095829516889718,0.8475068208045146,-0.022862435652572455,0.03623390197753906,-0.5333333333333333,False,
14,4,fidelity,fisher_fidelity,contrastive_fidelity,20,0.7940343241366173,0.7826317391057155,0.8058632925827287,0.8172093895970128,0.808592079023436,0.8260638625095234,-0.023175065460395418,0.000209808349609375,-0.8666666666666667,True,
14,5,fidelity,fisher_fidelity,contrastive_fidelity,20,0.7852542982414826,0.7741528664648694,0.7962546422951943,0.8044056599289544,0.7953331205502135,0.8132731581905285,-0.019151361687471734,0.0007076263427734375,-0.8095238095238095,True,
20,3,fidelity,fisher_fidelity,contrastive_fidelity,20,0.794811680394118,0.7776091423122271,0.812105360094177,0.8297118848075142,0.8095637488909246,0.849433469920002,-0.03490020441339612,0.01068878173828125,-0.638095238095238,False,
20,4,fidelity,fisher_fidelity,contrastive_fidelity,20,0.7975555031134258,0.7874098743447029,0.8073701498570124,0.8232469567045163,0.8131212147900212,0.8356614140315813,-0.025691453591090506,0.0002613067626953125,-0.8571428571428571,True,
20,5,fidelity,fisher_fidelity,contrastive_fidelity,20,0.7976181222530727,0.7920038432373254,0.8038090717822675,0.8164181911007663,0.807517539542842,0.8264833622540397,-0.01880006884769379,6.29425048828125e-05,-0.9142857142857143,True,
8,3,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.03287088322063362,0.024474767625855362,0.041466650419943046,0.07237710336862338,0.05445018417489382,0.090120762194335,-0.03950622014798977,1.9073486328125e-06,-1.0,True,
8,4,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.024386262306571694,0.019622271286831767,0.029865889693483243,0.0645920114890465,0.050418065345810274,0.07985785152056303,-0.040205749182474805,1.9073486328125e-06,-1.0,True,
8,5,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.022697198264801575,0.019191912881092302,0.026436771573787286,0.050981042686652565,0.04441972883924321,0.05801700390318703,-0.028283844421851,1.9073486328125e-06,-1.0,True,
14,3,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.0641311044888578,0.04398545012969508,0.08687470513017136,0.15309482238714606,0.11735189660555177,0.19255473766338174,-0.08896371789828829,1.9073486328125e-06,-1.0,True,
14,4,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.050142453999866984,0.04203423886469717,0.05881597564254007,0.13475951350352927,0.11217738170160968,0.16111320239151453,-0.0846170595036623,1.9073486328125e-06,-1.0,True,
