n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,4,extreme,pairkernel_extreme,standard_extreme,20,0.9362133118356153,0.9242404239857529,0.9475481836788293,0.9343007152304338,0.9214577137016344,0.9461381050028318,0.001912596605181549,0.0758514404296875,0.45714285714285713,False
8,5,extreme,pairkernel_extreme,standard_extreme,20,0.9163060603607042,0.9043179973856531,0.9279170220805908,0.9116422035597846,0.8990752558280654,0.9235319346880508,0.004663856800919452,0.0001678466796875,0.8761904761904762,True
14,3,extreme,pairkernel_extreme,standard_extreme,20,0.9728568957160997,0.9523689440968773,0.9887255854952994,0.9738155860951518,0.9556734170384593,0.9885266363002468,-0.0009586903790521573,0.916511907863894,0.047619047619047616,False
14,4,extreme,pairkernel_extreme,standard_extreme,20,0.9640731067539162,0.9527079048279464,0.9742294500341847,0.965239717277143,0.9521093663748955,0.9764023555794806,-0.0011666105232264966,0.5694942779917188,-0.16176470588235295,False
14,5,extreme,pairkernel_extreme,standard_extreme,20,0.9307443319228813,0.9166798474167421,0.9425953480970428,0.9292941222883814,0.9144272323377952,0.9414509126225327,0.0014502096344999604,0.1589900610113243,0.3684210526315789,False
20,3,extreme,pairkernel_extreme,standard_extreme,20,0.9859704647451579,0.9730308823499362,0.9958479785525349,0.9865957762751277,0.9737389588930774,0.9960034270319563,-0.0006253115299697187,0.28504940740261275,-0.6666666666666666,False
20,4,extreme,pairkernel_extreme,standard_extreme,20,0.9653579977445614,0.9558173688195737,0.9746524604698024,0.9657330902503961,0.9561034712525772,0.974955828594844,-0.0003750925058345567,0.8588630128278887,0.06060606060606061,False
20,5,extreme,pairkernel_extreme,standard_extreme,20,0.9500047090519452,0.9430304491672056,0.957484746934088,0.9502635656801198,0.9433870512403073,0.9575816808125168,-0.00025885662817436985,0.9479148130096964,-0.017543859649122806,False
8,3,moderate,pairkernel_moderate,standard_moderate,20,0.7898402068394587,0.772302248458168,0.8067154564243575,0.780689395433425,0.7633633180446411,0.7975286039816041,0.00915081140603377,1.9073486328125e-06,1.0,True
8,4,moderate,pairkernel_moderate,standard_moderate,20,0.7721997759896817,0.7615166845653261,0.7839998067130063,0.7609655465750529,0.7503811308172408,0.772393734280638,0.01123422941462877,2.6702880859375e-05,0.9428571428571428,True
8,5,moderate,pairkernel_moderate,standard_moderate,20,0.7608765272378778,0.7506285403431342,0.7714664366265537,0.7455994964876053,0.735415798315443,0.7559796803847142,0.015277030750272702,1.9073486328125e-06,1.0,True
14,3,moderate,pairkernel_moderate,standard_moderate,20,0.8114514282665901,0.7954585844421952,0.8277211550022737,0.8079218096261374,0.7917197086395346,0.8245306927381679,0.0035296186404527863,4.76837158203125e-05,0.9238095238095239,True
14,4,moderate,pairkernel_moderate,standard_moderate,20,0.7971795299874649,0.7826664714339322,0.8124599661079503,0.7908561698586645,0.7765361636541251,0.8061615346294767,0.006323360128800392,1.9073486328125e-06,1.0,True
14,5,moderate,pairkernel_moderate,standard_moderate,20,0.7716869218051976,0.7620131581714911,0.781387532008133,0.7672294117331584,0.7573586133837201,0.7770864916570799,0.0044575100720390445,6.29425048828125e-05,0.9142857142857143,True
20,3,moderate,pairkernel_moderate,standard_moderate,20,0.8260611490921932,0.8054964381241622,0.8475397102505039,0.823589081881457,0.8030607978156579,0.8450640922084046,0.002472067210736323,0.0002613067626953125,0.8571428571428571,True
20,4,moderate,pairkernel_moderate,standard_moderate,20,0.7976035325685381,0.7876556615101424,0.8081306764234313,0.79385230979204,0.78428168182032,0.8041401402925832,0.0037512227764981863,0.000850677490234375,0.8,True
20,5,moderate,pairkernel_moderate,standard_moderate,20,0.7844466737963629,0.7751092677350137,0.7932408316914489,0.7797357124144662,0.7708883680574037,0.788008861782006,0.004710961381896639,1.9073486328125e-06,1.0,True
8,3,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.03787887623385546,0.02655042877621361,0.04993655737103829,0.042074967762512974,0.03070631960728847,0.0542859285324467,-0.004196091528657512,0.0023250579833984375,-0.7428571428571429,True
8,4,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.021809571479544043,0.01787334337192947,0.026090791771749555,0.02598004579419848,0.02219086244758361,0.029991443476999686,-0.004170474314654437,9.5367431640625e-06,-0.9714285714285714,True
8,5,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.020574887084304567,0.01813114022359324,0.023455479109385353,0.025380515152222883,0.02266317780892058,0.028377765519056925,-0.0048056280679183135,1.9073486328125e-06,-1.0,True
14,3,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.06293099152917427,0.04789858143033477,0.07947677068363497,0.06508809389528711,0.04905836198777458,0.08296375323962892,-0.00215710236611285,0.20244979858398438,-0.3333333333333333,False
14,4,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.048984281378728255,0.03538448418078083,0.06775867305757773,0.05085860276593438,0.03779381694551503,0.06806265306219346,-0.0018743213872061196,0.023950576782226562,-0.5714285714285714,False
14,5,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.03947797705365415,0.03314120462318933,0.047324414834962025,0.041544392168527414,0.035226738006816666,0.04946996831502954,-0.002066415114873264,0.0005855560302734375,-0.819047619047619,True
20,3,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.09047797608015769,0.07074332574343935,0.1136135675379239,0.09153769986798305,0.07181530479934703,0.11495202924734374,-0.0010597237878253957,0.017181396484375,-0.6,False
20,4,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.06276707868562911,0.05437390977113712,0.07105573400413212,0.06517061240355217,0.056020004019796774,0.0742733538536197,-0.0024035337179230554,0.0004825592041015625,-0.8285714285714286,True
20,5,direction_variance,pairkernel_direction_variance,standard_direction_variance,20,0.05446977755948527,0.04661871384640652,0.06353862893298506,0.05614809256137745,0.048091143966160335,0.06540936931863214,-0.0016783150018922037,0.000850677490234375,-0.8,True
