n_features,n_classes,frac_extreme,ridge_fidelity,ridge_extreme,ridge_moderate,logistic_fidelity,logistic_extreme,logistic_moderate,ridge_direction_variance,logistic_direction_variance,seed
8,3,0.06278453874958695,0.8049882463480801,0.9259788935507652,0.7968830215713786,0.8092193242293517,0.9259788935507652,0.8013975415043154,0.02675435278131894,0.020284601165222096,11
8,3,0.08507638598548106,0.8205338631334526,1.0,0.8038457701631698,0.8173733882942957,0.9729513625701561,0.8029065939219712,0.05769454617637469,0.03607704703135774,11
8,3,0.3718377840147784,0.9890489329252506,1.0,0.9825664982769244,0.9865802181709881,1.0,0.9786364389842134,0.14072305486561207,0.045007653773342524,11
8,3,0.25469440876027144,0.7899917398383222,0.9247216968575912,0.7439502675232673,0.815884065352976,0.9368361269876941,0.7745509340998632,0.02592525501857125,0.01520123238130881,12
8,3,0.22316331677772475,0.7945223433461994,0.9384781283193254,0.753167897633507,0.8195965995649901,0.9447281674049798,0.7836498216696179,0.04155564358448751,0.029413998999289606,12
8,3,0.22548920579809129,0.8094520000919251,0.9963579838565086,0.7550366424836227,0.8376302015005712,0.9963579838565086,0.7914185775316454,0.026550441071542533,0.02045079719099019,12
8,3,0.26023649502609725,0.7806595361505768,0.977304226418341,0.7114832053141691,0.7917308528412069,0.977304226418341,0.7264492270443444,0.04330472928089406,0.03473768224692888,12
8,3,0.1863112478913138,0.7973574019121977,1.0,0.7509580935429534,0.802124706680641,1.0,0.7568169735583016,0.022347032968942075,0.02124191209881829,12
8,3,0.15638209847588608,0.8405355468646191,1.0,0.8109754986857367,0.8378521619946724,1.0,0.8077946927010617,0.03200044304880608,0.02825993509408889,12
8,3,0.4289310375093883,0.8592725023690102,0.9195640182852672,0.8139874244299355,0.8631887250006435,0.8969424472444257,0.8378362368551032,0.04572040414943768,0.03079790420663949,12
8,3,0.24998761050340682,0.854615063072535,1.0,0.8061566195925814,0.8712575576120409,1.0,0.8283462457541927,0.023003063295997002,0.010912605736196125,12
8,3,0.15280274257677287,0.7712637323804215,0.8579417314963371,0.7556302587473,0.7637217883078088,0.8579417314963371,0.7467280296542177,0.027290622404193783,0.022439566975946797,13
8,3,0.22613714230582974,0.807144712253958,0.9776130634208244,0.7573306846091574,0.819843459165051,0.9729942453894094,0.7750899465829103,0.016384108636954872,0.015525846702310527,13
8,3,0.10651715271514571,0.7977125370558994,1.0,0.773596702433831,0.8089260556773711,1.0,0.7861470481461721,0.036965723858485434,0.027373018542721443,13
8,3,0.1062463930614738,0.871977127622028,0.9879359191187222,0.8581923403555543,0.8674715781173689,0.9879359191187222,0.8531511864293704,0.014011273219636071,0.013901745236243416,13
8,3,0.29054903376258956,0.771026856984934,0.8538473576693315,0.737108492510492,0.7813260909785358,0.8533275026645355,0.7518385836094797,0.0623311006823037,0.03814703555447666,13
