n_features,n_classes,ridge_spearman,ridge_recall,logistic_spearman,logistic_recall,seed
8,4,1.0,0.75,1.0,1.0,5
8,4,1.0,1.0,1.0,1.0,5
8,4,1.0,1.0,1.0,1.0,5
8,4,1.0,1.0,1.0,1.0,5
8,4,1.0,1.0,1.0,1.0,5
8,4,1.0,1.0,1.0,1.0,6
8,4,1.0,1.0,1.0,0.75,6
8,4,1.0,1.0,1.0,1.0,6
8,4,1.0,1.0,1.0,1.0,6
8,4,1.0,1.0,1.0,0.75,6
8,4,1.0,1.0,1.0,0.75,6
8,4,1.0,1.0,1.0,0.75,6
8,4,1.0,1.0,1.0,1.0,6
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,7
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,0.9761904761904763,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,8
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,9
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,1.0,1.0,10
8,4,1.0,1.0,0.9761904761904763,1.0,10
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,0.9761904761904763,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,11
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,12
8,4,1.0,1.0,1.0,1.0,13
8,4,1.0,1.0,1.0,1.0,13
8,4,1.0,1.0,1.0,1.0,13
8,4,1.0,1.0,1.0,1.0,13
8,4,1.0,1.0,0.9761904761904763,0.75,13
8,4,1.0,1.0,0.9761904761904763,0.75,13
8,4,1.0,1.0,1.0,1.0,13
8,4,1.0,1.0,1.0,1.0,13
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,15
8,4,1.0,1.0,1.0,1.0,16
8,4,1.0,1.0,1.0,1.0,16
8,4,1.0,1.0,1.0,1.0,16
8,4,1.0,1.0,0.9761904761904763,1.0,16
8,4,1.0,1.0,0.9761904761904763,1.0,16
8,4,1.0,1.0,0.9761904761904763,1.0,16
8,4,1.0,1.0,1.0,1.0,16
8,4,1.0,1.0,1.0,1.0,16
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,5,1.0,1.0,1.0,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,1.0,1.0,0.9761904761904763,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,1.0,1.0,0.9761904761904763,0.75,0
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,1
