n_features,n_classes,K,sum_to_one_deviation,sum_to_one_deviation_topk,ovr_feature_overlap,fisher_feature_overlap,ovr_pairdiff_variance,fisher_pairdiff_variance,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,ovr_pairdiff_mean_norm,fisher_pairdiff_mean_norm,seed
8,3,5,1.1102230246251565e-16,0.00038822993414733276,0.7777777777777777,0.7777777777777777,0.00138739931673865,1.0914675135104534e-05,0.02348738031728329,0.03566284700680901,0.22406899924055415,0.013841480330115452,3
8,3,2,0.0,0.00022304457726463056,0.2222222222222222,0.2222222222222222,0.0008828683069924602,1.552819326086869e-05,0.012858364197449203,0.03500167528745976,0.23749883676038241,0.01781573550230673,3
8,3,5,0.0,0.00215707028389156,0.36904761904761907,0.5079365079365079,0.0008828683069924602,1.552819326086869e-05,0.012858364197449203,0.03500167528745976,0.23749883676038241,0.01781573550230673,3
8,3,2,0.0,0.00029009702134974447,0.2222222222222222,0.5555555555555555,0.0015716966509626046,1.2318029862407199e-05,0.029887452755663093,0.04078468076445853,0.22127687696704296,0.01524979798864064,3
8,3,5,0.0,0.0021020064278058914,0.5873015873015873,1.0,0.0015716966509626046,1.2318029862407199e-05,0.029887452755663093,0.04078468076445853,0.22127687696704296,0.01524979798864064,3
8,3,2,1.1102230246251565e-16,0.001007694768251688,0.2222222222222222,0.5555555555555555,0.0011593817986022537,1.1621153534787087e-05,0.02631854402094209,0.05446880225388302,0.2003196817427265,0.013110183572441928,3
8,3,5,1.1102230246251565e-16,0.003109611432170034,0.5079365079365079,0.5873015873015873,0.0011593817986022537,1.1621153534787087e-05,0.02631854402094209,0.05446880225388302,0.2003196817427265,0.013110183572441928,3
8,3,2,2.220446049250313e-16,0.00013927873335439767,0.5555555555555555,1.0,0.002504383002363738,1.4722268167395895e-05,0.2687678459293633,0.39702922017183917,0.08973889220033653,0.005596756936093611,4
8,3,5,2.220446049250313e-16,0.0007913651378990139,0.7777777777777777,1.0,0.002504383002363738,1.4722268167395895e-05,0.2687678459293633,0.39702922017183917,0.08973889220033653,0.005596756936093611,4
8,3,2,0.0,0.001231847184903545,0.1111111111111111,0.3333333333333333,0.0013645170176810944,1.4995223330304377e-05,0.013388003627789052,0.02436941495656789,0.2750611651420879,0.02104807268861795,4
8,3,5,0.0,0.005417218858236206,0.6666666666666666,0.6190476190476191,0.0013645170176810944,1.4995223330304377e-05,0.013388003627789052,0.02436941495656789,0.2750611651420879,0.02104807268861795,4
8,3,2,0.0,0.0006503286117849338,0.2222222222222222,0.5555555555555555,0.0014365399394516065,3.0513721485234408e-05,0.027856185276918195,0.1521510021513559,0.20544865769854848,0.013102810927256646,4
8,3,5,0.0,0.0012271943699933008,0.5079365079365079,1.0,0.0014365399394516065,3.0513721485234408e-05,0.027856185276918195,0.1521510021513559,0.20544865769854848,0.013102810927256646,4
8,3,2,0.0,0.0006667716442776417,0.3333333333333333,0.3333333333333333,0.0011799392010930655,3.1940574136220285e-05,0.03232953948020527,0.1844826722666069,0.1834375674793746,0.012089281681891767,4
8,3,5,0.0,0.0007191888387787504,0.5079365079365079,0.5079365079365079,0.0011799392010930655,3.1940574136220285e-05,0.03232953948020527,0.1844826722666069,0.1834375674793746,0.012089281681891767,4
8,3,2,0.0,0.00053951352126691,0.2222222222222222,0.3333333333333333,0.0013854608898248616,2.2397402575834e-05,0.012018830710711796,0.04055538398155458,0.28822792107112866,0.01951143724483307,4
8,3,5,0.0,0.0026584888928148365,0.5079365079365079,0.42857142857142855,0.0013854608898248616,2.2397402575834e-05,0.012018830710711796,0.04055538398155458,0.28822792107112866,0.01951143724483307,4
