n_features,n_classes,ovr_spearman,fisher_hard_spearman,fisher_soft_spearman,contrastive_spearman,seed
8,4,1.0,1.0,1.0,1.0,13
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,13
8,4,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,13
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,13
8,4,1.0,0.9761904761904763,1.0,1.0,13
8,4,1.0,0.9761904761904763,1.0,1.0,13
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,13
8,4,1.0,1.0,1.0,1.0,14
8,4,1.0,0.9761904761904763,1.0,1.0,14
8,4,0.9761904761904763,0.9523809523809524,1.0,1.0,14
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,14
8,4,1.0,1.0,1.0,1.0,14
8,4,0.9523809523809524,1.0,1.0,1.0,14
8,4,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,14
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,14
8,4,0.9285714285714287,0.9285714285714287,0.9285714285714287,1.0,15
8,4,0.9761904761904763,1.0,1.0,1.0,15
8,4,1.0,0.9761904761904763,1.0,1.0,15
8,4,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,15
8,4,0.9761904761904763,0.9285714285714287,0.9761904761904763,1.0,15
8,4,0.9761904761904763,0.9761904761904763,1.0,1.0,15
8,4,1.0,0.9761904761904763,1.0,1.0,15
8,4,0.9761904761904763,0.9285714285714287,0.9761904761904763,1.0,15
8,4,1.0,0.9761904761904763,1.0,1.0,16
8,4,1.0,0.9761904761904763,1.0,1.0,16
8,4,1.0,0.9523809523809524,1.0,1.0,16
8,4,0.9285714285714287,0.880952380952381,0.9285714285714287,1.0,16
8,4,0.9523809523809524,0.9285714285714287,0.9761904761904763,1.0,16
8,4,1.0,0.9523809523809524,0.9523809523809524,1.0,16
8,4,1.0,1.0,1.0,1.0,16
8,4,0.880952380952381,0.9047619047619048,0.9523809523809524,1.0,16
8,4,1.0,1.0,1.0,1.0,17
8,4,0.9523809523809524,0.9285714285714287,0.9761904761904763,1.0,17
8,4,0.9761904761904763,0.7142857142857144,0.9761904761904763,1.0,17
8,4,0.9047619047619048,0.9047619047619048,1.0,1.0,17
8,4,0.9761904761904763,0.880952380952381,1.0,1.0,17
8,4,1.0,0.9761904761904763,1.0,1.0,17
8,4,0.9523809523809524,0.9047619047619048,0.9761904761904763,1.0,17
8,4,0.9761904761904763,1.0,1.0,1.0,17
8,4,1.0,1.0,1.0,1.0,18
8,4,0.9761904761904763,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,0.9523809523809524,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,0.9761904761904763,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,1.0,1.0,1.0,1.0,18
8,4,0.9047619047619048,0.9047619047619048,0.9761904761904763,1.0,19
8,4,0.9761904761904763,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,19
8,4,1.0,0.9523809523809524,1.0,1.0,19
8,4,1.0,0.9761904761904763,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,19
8,4,1.0,0.9761904761904763,1.0,1.0,19
8,5,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0
8,5,0.9761904761904763,0.9761904761904763,1.0,1.0,0
8,5,1.0,0.9761904761904763,1.0,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0
8,5,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0
8,5,1.0,1.0,1.0,1.0,0
8,5,0.9047619047619048,0.9047619047619048,1.0,1.0,0
8,5,0.9523809523809524,0.9761904761904763,1.0,1.0,1
8,5,0.9761904761904763,0.9761904761904763,1.0,1.0,1
8,5,0.9523809523809524,0.9523809523809524,0.9761904761904763,1.0,1
8,5,0.9285714285714287,0.9047619047619048,0.9761904761904763,1.0,1
8,5,0.9761904761904763,1.0,0.9761904761904763,1.0,1
8,5,0.9523809523809524,0.9285714285714287,1.0,1.0,1
8,5,1.0,0.9761904761904763,0.9761904761904763,1.0,1
8,5,0.9285714285714287,0.9761904761904763,0.9761904761904763,1.0,1
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,2
