n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,4,spearman,contrastive_spearman,ovr_spearman,20,0.9993956043956043,0.9985714285714288,0.9998901098901098,0.9730494505494505,0.964532967032967,0.9802204670329671,0.026346153846153835,1.9073486328125e-06,1.0,True
14,5,spearman,contrastive_spearman,ovr_spearman,20,0.9997252747252748,0.9994505494505495,0.999945054945055,0.9752472527472527,0.9702747252747255,0.9792582417582418,0.024478021978021968,1.9073486328125e-06,1.0,True
20,3,spearman,contrastive_spearman,ovr_spearman,20,0.9996428571428572,0.9993796992481203,0.9998496240601502,0.9797462406015038,0.9755072838345862,0.9833364661654134,0.019896616541353485,1.9073486328125e-06,1.0,True
20,4,spearman,contrastive_spearman,ovr_spearman,20,0.999812030075188,0.99968984962406,0.9999154135338346,0.97468984962406,0.9687873590225564,0.9800657894736842,0.02512218045112794,1.9073486328125e-06,1.0,True
20,5,spearman,contrastive_spearman,ovr_spearman,20,0.9993984962406014,0.998703007518797,0.9998308270676691,0.9732236842105264,0.966531719924812,0.9789661654135339,0.026174812030075312,1.9073486328125e-06,1.0,True
8,3,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9991071428571429,0.9976190476190476,1.0,0.9633928571428573,0.9519308035714287,0.9735119047619047,0.035714285714285636,1.9073486328125e-06,1.0,True
8,4,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9994047619047619,0.9985119047619048,1.0,0.9663690476190476,0.9574404761904762,0.9742559523809522,0.03303571428571422,1.9073486328125e-06,1.0,True
8,5,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9980654761904763,0.9956845238095239,0.9997023809523811,0.9617559523809526,0.9546130952380952,0.9687537202380954,0.03630952380952374,1.9073486328125e-06,1.0,True
14,3,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9992307692307694,0.9985439560439561,0.9997802197802198,0.9501098901098899,0.9373351648351649,0.9598358516483515,0.049120879120879084,1.9073486328125e-06,1.0,True
14,4,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9993956043956043,0.9985714285714288,0.9998901098901098,0.9498076923076922,0.9412637362637364,0.9579395604395604,0.04958791208791207,1.9073486328125e-06,1.0,True
14,5,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9997252747252748,0.9994505494505495,0.999945054945055,0.9524725274725274,0.9462637362637363,0.9585714285714285,0.04725274725274724,1.9073486328125e-06,1.0,True
20,3,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9996428571428572,0.9993796992481203,0.9998496240601502,0.9462124060150376,0.9383453947368422,0.9531675281954886,0.053430451127819634,1.9073486328125e-06,1.0,True
20,4,spearman,contrastive_spearman,fisher_hard_spearman,20,0.999812030075188,0.99968984962406,0.9999154135338346,0.9406954887218044,0.9319544172932329,0.9492960526315789,0.05911654135338355,1.9073486328125e-06,1.0,True
20,5,spearman,contrastive_spearman,fisher_hard_spearman,20,0.9993984962406014,0.998703007518797,0.9998308270676691,0.9447932330827067,0.9349149436090225,0.9523310620300751,0.054605263157894844,1.9073486328125e-06,1.0,True
8,3,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9991071428571429,0.9976190476190476,1.0,0.9834821428571431,0.9784226190476192,0.9880952380952379,0.015624999999999944,0.00019336227204951276,1.0,True
8,4,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9994047619047619,0.9985119047619048,1.0,0.9866071428571429,0.9818452380952379,0.9904761904761905,0.012797619047619007,0.00011984765059027204,1.0,True
8,5,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9980654761904763,0.9956845238095239,0.9997023809523811,0.9808035714285717,0.9754464285714288,0.9857142857142858,0.01726190476190471,5.7220458984375e-06,0.9857142857142858,True
14,3,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9992307692307694,0.9985439560439561,0.9997802197802198,0.9833791208791209,0.978323489010989,0.987554945054945,0.015851648351648324,1.9073486328125e-06,1.0,True
14,4,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9993956043956043,0.9985714285714288,0.9998901098901098,0.9817582417582418,0.9780769230769231,0.9852472527472529,0.017637362637362618,1.9073486328125e-06,1.0,True
14,5,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9997252747252748,0.9994505494505495,0.999945054945055,0.9846153846153847,0.9820054945054946,0.9870329670329671,0.015109890109890084,1.9073486328125e-06,1.0,True
20,3,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9996428571428572,0.9993796992481203,0.9998496240601502,0.9841541353383458,0.9810996240601504,0.986955122180451,0.015488721804511385,1.9073486328125e-06,1.0,True
