n_features,n_classes,frac_extreme,standard_fidelity,standard_extreme,standard_moderate,pairkernel_fidelity,pairkernel_extreme,pairkernel_moderate,standard_direction_variance,pairkernel_direction_variance,seed
8,3,0.12969791305268744,0.8296938799731739,0.8353494947459117,0.8288510445438956,0.8459825243036432,0.8503552703573225,0.8453308700723396,0.1237636504140952,0.1082946343873965,8
8,3,0.11825965093520899,0.88384701124481,0.8544741307023751,0.887786523147145,0.8645989888652706,0.7403634090504426,0.8812615543452532,0.13878266657195562,0.10180660380737674,8
8,3,0.21614991071776113,0.8949261636122201,0.9773395415239959,0.8722003330980063,0.9055063478587949,0.9773395415239959,0.885698046999223,0.02812543073158904,0.02773279948840455,8
8,3,0.21045265044663372,0.8391575839686226,1.0,0.7962852815320537,0.845333592111064,0.9851649260309667,0.8080617617951513,0.03542580329579499,0.032880365170155426,8
8,3,0.2046997185059902,0.8154856097015232,0.8974019402460013,0.7944014353416218,0.8260533569992063,0.8699371746595257,0.8147582457927063,0.04421115374050431,0.04421082798406971,8
8,3,0.09653060328031497,0.8475092682805547,0.8801544091982998,0.8440213193158169,0.8475092682805547,0.8801544091982998,0.8440213193158169,0.05079338003874054,0.05254387733557387,8
8,3,0.2557383398278246,0.8458919888960765,0.9921959329058834,0.795619981410597,0.8710260823097001,0.9921959329058834,0.8293904881538963,0.04386747147985447,0.03982669458951375,8
8,3,0.3772648781085876,0.8435978873908654,0.9773310783472179,0.7625797559066767,0.8579908781287324,0.9773310783472179,0.7856922964265556,0.016549588923790885,0.015418440509826317,8
8,3,0.2829505763360616,0.8561169485961055,0.9511537282789044,0.8186150544491626,0.8643953840281642,0.9511537282789044,0.8301601936806509,0.0137809953310014,0.013907896033388177,9
8,3,0.2803260405223894,0.9142048787910808,1.0,0.8807861253293153,0.9156902395483919,1.0,0.8828500610015038,0.031504277673108386,0.015318556900556123,9
8,3,0.34870954699072454,0.7941656569454872,0.9586224064705023,0.706113331962891,0.8222019292082887,0.967215011054799,0.7445600017936008,0.02692477411924244,0.01542082552443466,9
8,3,0.1779440311312997,0.8344552147597609,0.9830163759587331,0.8022973412153693,0.8317659410564135,0.9830163759587331,0.7990259414504016,0.011907588643890575,0.012919912837561724,9
8,3,0.26810054469152467,0.8395525246298493,1.0,0.7807793485752402,0.8465827084949399,1.0,0.7903847442537049,0.01452356891035277,0.012128298159738758,9
8,3,0.14763972800950023,0.8254138459787074,0.9688094068858263,0.8005758962222542,0.8315908877698457,0.9688094068858263,0.8078228808531935,0.014668055519719798,0.01626042985218054,9
8,3,0.16930927732308826,0.8214579180262177,0.9775040685349701,0.789652987201244,0.8323785514890581,0.9775040685349701,0.8027994364930435,0.013898568116011981,0.0109200740418933,9
8,3,0.17733634257190237,0.7866884783711596,0.9919695455628378,0.7424373517699933,0.7954850843529581,0.9919695455628378,0.7531301858369549,0.01783792789467358,0.015078178701166473,9
8,3,0.23819769261547644,0.8148102659143579,0.9740449340515691,0.7650213243910684,0.7981978271699319,0.9740449340515691,0.7432145661502579,0.010797540834011092,0.007937630689261035,10
8,3,0.1388177623008901,0.7734362301646287,0.9516298021135278,0.7447124225528519,0.7762842382685171,0.9516298021135278,0.7480195136413742,0.031006223822329152,0.024869062392789746,10
8,3,0.14244586279887714,0.8211896112063767,0.9849389889911567,0.7939896708300624,0.8171783282127025,0.9718638165075764,0.7914839645722398,0.010507616372145742,0.006831825238670293,10
8,3,0.2418604717075267,0.7906009418180483,0.9432572260620026,0.7419007757687751,0.7955195697885763,0.9432572260620026,0.7483885366452012,0.0061347052459738574,0.004164915895840841,10
8,3,0.1306451813598597,0.7821897847932152,0.9476661478771805,0.7573222750005038,0.7854180111077406,0.9476661478771805,0.7610356337411558,0.012808097692583183,0.009518098163384617,10
8,3,0.28623996477510866,0.8812383133028332,0.9946133936160086,0.8357713812897605,0.8770287223885914,0.983652134225757,0.8342694193423565,0.028643941171696174,0.013756179256619467,10
8,3,0.1942954105928157,0.768267144292696,0.9700421297745172,0.7196091694381713,0.7744795126788351,0.9700421297745172,0.7273196485241968,0.007355291391051731,0.005815276515166319,10
8,3,0.20878961500456955,0.8001645402042306,0.9160745926093888,0.7695774603632953,0.8108411938084495,0.9160745926093888,0.7830715370421304,0.008918506289877406,0.004572546482704305,10
8,3,0.32088745596246643,0.8095282336756694,0.9910382791190439,0.723762925369515,0.8115916000117757,0.9910382791190439,0.7268012528959642,0.03592778430672414,0.03155424027255245,11
8,3,0.11549602838733532,0.8425771806975768,1.0,0.8220213539398776,0.8449593793396872,1.0,0.824714613346918,0.023468581724391882,0.023405172984712133,11
8,3,0.12440946643160905,0.8813958261661784,1.0,0.8645437915477902,0.8845412458154441,1.0,0.8681361324065324,0.03858362753793457,0.03339430353113406,11
8,3,0.1441865997613455,0.8810496622961241,1.0,0.8610090264177859,0.8803483643859262,1.0,0.860189574525583,0.017035719634764888,0.013268342798084296,11
8,3,0.19574511637374462,0.8498630436520805,0.9625263067229349,0.8224422794269189,0.8511170506985895,0.9625263067229349,0.8240014953820087,0.012184846206109743,0.010492179385976694,11
8,3,0.06278453874958695,0.8049882463480801,0.9259788935507652,0.7968830215713786,0.8127328339040542,0.8637229852209617,0.809316977824458,0.02675435278131894,0.014830133522266201,11
8,3,0.08507638598548106,0.8205338631334526,1.0,0.8038457701631698,0.8161005148703121,0.9729513625701561,0.8015153592828316,0.05769454617637469,0.026045707763645624,11
8,3,0.3718377840147784,0.9890489329252506,1.0,0.9825664982769244,0.9865802181709881,1.0,0.9786364389842134,0.14072305486561207,0.034404524953015075,11
8,3,0.25469440876027144,0.7899917398383222,0.9247216968575912,0.7439502675232673,0.8256715309414734,0.9368361269876941,0.7876830851309821,0.02592525501857125,0.01487068063825166,12
8,3,0.22316331677772475,0.7945223433461994,0.9384781283193254,0.753167897633507,0.8249606386560667,0.9447281674049798,0.7905547982328085,0.04155564358448751,0.033540246206736665,12
