n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
20,3,12,recall,joint_lasso_recall,pair_lasso_recall,20,0.7145833333333333,0.6827994791666666,0.7479166666666666,0.8390625,0.8166666666666668,0.8609505208333332,-0.12447916666666667,8.732637791829415e-05,-1.0,True
20,4,6,recall,joint_lasso_recall,pair_lasso_recall,20,0.5229166666666667,0.4770833333333334,0.5677083333333333,0.7239583333333333,0.6916666666666668,0.7541666666666667,-0.2010416666666667,0.00013100797196900614,-1.0,True
20,4,12,recall,joint_lasso_recall,pair_lasso_recall,20,0.7203125000000001,0.6947916666666667,0.7463541666666667,0.8812499999999999,0.8609375,0.9010416666666666,-0.1609375,8.769942375590214e-05,-1.0,True
20,5,6,recall,joint_lasso_recall,pair_lasso_recall,20,0.4729166666666666,0.440625,0.5083333333333333,0.715625,0.6854166666666667,0.7447916666666667,-0.2427083333333334,8.782404130245517e-05,-1.0,True
20,5,12,recall,joint_lasso_recall,pair_lasso_recall,20,0.6661458333333334,0.6447916666666667,0.6854166666666666,0.8739583333333334,0.8577994791666667,0.8901041666666665,-0.2078125,8.757494073814436e-05,-1.0,True
8,3,2,recall,joint_refit_recall,joint_lasso_recall,20,0.4625,0.359375,0.578125,0.4625,0.359375,0.578125,0.0,1.0,0.0,False
8,3,5,recall,joint_refit_recall,joint_lasso_recall,20,0.7400000000000001,0.6975,0.77875,0.7400000000000001,0.6975,0.77875,0.0,1.0,0.0,False
8,4,2,recall,joint_refit_recall,joint_lasso_recall,20,0.4625,0.39375,0.534375,0.4625,0.39375,0.534375,0.0,1.0,0.0,False
8,4,5,recall,joint_refit_recall,joint_lasso_recall,20,0.7175,0.6849999999999999,0.75125,0.7175,0.6849999999999999,0.75125,0.0,1.0,0.0,False
8,5,2,recall,joint_refit_recall,joint_lasso_recall,20,0.403125,0.334375,0.46875,0.403125,0.334375,0.46875,0.0,1.0,0.0,False
8,5,5,recall,joint_refit_recall,joint_lasso_recall,20,0.7012499999999999,0.6712499999999999,0.73,0.7012499999999999,0.6712499999999999,0.73,0.0,1.0,0.0,False
14,3,4,recall,joint_refit_recall,joint_lasso_recall,20,0.565625,0.50625,0.6296875,0.565625,0.50625,0.6296875,0.0,1.0,0.0,False
14,3,8,recall,joint_refit_recall,joint_lasso_recall,20,0.725,0.68984375,0.76328125,0.725,0.68984375,0.76328125,0.0,1.0,0.0,False
14,4,4,recall,joint_refit_recall,joint_lasso_recall,20,0.4421875,0.4,0.4859375,0.4421875,0.4,0.4859375,0.0,1.0,0.0,False
14,4,8,recall,joint_refit_recall,joint_lasso_recall,20,0.684375,0.6546875,0.71640625,0.684375,0.6546875,0.71640625,0.0,1.0,0.0,False
14,5,4,recall,joint_refit_recall,joint_lasso_recall,20,0.3828125,0.35,0.4171875,0.3828125,0.35,0.4171875,0.0,1.0,0.0,False
14,5,8,recall,joint_refit_recall,joint_lasso_recall,20,0.66015625,0.63984375,0.68046875,0.66015625,0.63984375,0.68046875,0.0,1.0,0.0,False
20,3,6,recall,joint_refit_recall,joint_lasso_recall,20,0.525,0.46875,0.58125,0.525,0.46875,0.58125,0.0,1.0,0.0,False
20,3,12,recall,joint_refit_recall,joint_lasso_recall,20,0.7145833333333333,0.6827994791666666,0.7479166666666666,0.7145833333333333,0.6827994791666666,0.7479166666666666,0.0,1.0,0.0,False
20,4,6,recall,joint_refit_recall,joint_lasso_recall,20,0.5229166666666667,0.4770833333333334,0.5677083333333333,0.5229166666666667,0.4770833333333334,0.5677083333333333,0.0,1.0,0.0,False
20,4,12,recall,joint_refit_recall,joint_lasso_recall,20,0.7203125000000001,0.6947916666666667,0.7463541666666667,0.7203125000000001,0.6947916666666667,0.7463541666666667,0.0,1.0,0.0,False
20,5,6,recall,joint_refit_recall,joint_lasso_recall,20,0.4729166666666666,0.440625,0.5083333333333333,0.4729166666666666,0.440625,0.5083333333333333,0.0,1.0,0.0,False
20,5,12,recall,joint_refit_recall,joint_lasso_recall,20,0.6661458333333334,0.6447916666666667,0.6854166666666666,0.6661458333333334,0.6447916666666667,0.6854166666666666,0.0,1.0,0.0,False
8,3,2,recall,fisher_select_recall,ridge_select_recall,20,0.803125,0.728125,0.875,0.8,0.728125,0.86875,0.003125,0.7400822700705535,0.0989010989010989,False
8,3,5,recall,fisher_select_recall,ridge_select_recall,20,0.865,0.825,0.9025000000000001,0.85875,0.82,0.8924999999999998,0.00625,0.38487570697062246,0.28205128205128205,False
8,4,2,recall,fisher_select_recall,ridge_select_recall,20,0.6625,0.615625,0.709375,0.653125,0.609375,0.7,0.009375,0.36353994466784134,0.27472527472527475,False
8,4,5,recall,fisher_select_recall,ridge_select_recall,20,0.78,0.75375,0.8075000000000001,0.7775000000000001,0.7525000000000001,0.8037500000000002,0.0024999999999999966,0.6630428353353353,0.13186813186813187,False
8,5,2,recall,fisher_select_recall,ridge_select_recall,20,0.59375,0.521875,0.659375,0.59375,0.53125,0.6469531249999988,0.0,0.8497750223240732,0.06060606060606061,False
8,5,5,recall,fisher_select_recall,ridge_select_recall,20,0.77125,0.74,0.8,0.7575000000000001,0.7325,0.7825000000000001,0.013750000000000007,0.16767262042607656,0.42857142857142855,False
14,3,4,recall,fisher_select_recall,ridge_select_recall,20,0.81875,0.7828125,0.85625,0.8140625,0.775,0.8515625,0.0046875,0.6354287247995768,0.13333333333333333,False
14,3,8,recall,fisher_select_recall,ridge_select_recall,20,0.85859375,0.8296875,0.8859375,0.85390625,0.8265625,0.8796875,0.0046875,0.36833818797898643,0.25833333333333336,False
14,4,4,recall,fisher_select_recall,ridge_select_recall,20,0.65625,0.615625,0.7,0.6375,0.6015625,0.6765625,0.01875,0.20544013863973598,0.32748538011695905,False
14,4,8,recall,fisher_select_recall,ridge_select_recall,20,0.7921875,0.76951171875,0.8171875,0.78203125,0.76171875,0.803125,0.01015625,0.07875265809126046,0.4852941176470588,False
14,5,4,recall,fisher_select_recall,ridge_select_recall,20,0.6203125,0.5921875,0.646875,0.6015625,0.5703125,0.6328125,0.01875,0.1708992567331986,0.3660130718954248,False
14,5,8,recall,fisher_select_recall,ridge_select_recall,20,0.7625,0.74140625,0.78359375,0.74375,0.7265625,0.7625,0.01875,0.011184565921993005,0.7058823529411765,False
20,3,6,recall,fisher_select_recall,ridge_select_recall,20,0.7614583333333333,0.7177083333333332,0.8010416666666668,0.7583333333333334,0.7166666666666666,0.796875,0.003125000000000011,0.5649969106821366,0.16666666666666666,False
