n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,5,extreme_test,combined_extreme_test,standard_extreme_test,20,0.930196191151081,0.9168323619215625,0.9432313201398348,0.9308273399092256,0.9172801143965017,0.9442341712154216,-0.0006311487581445397,0.7285060882568359,-0.09523809523809523,False
20,3,extreme_test,combined_extreme_test,standard_extreme_test,20,0.9422941651585119,0.9016132397328444,0.9751242670764085,0.94058568177874,0.900201193615017,0.9732696995867389,0.0017084833797719745,0.4652088184521418,0.4,False
20,4,extreme_test,combined_extreme_test,standard_extreme_test,20,0.9611903312565102,0.9355088221272299,0.9789793192676175,0.9633834341055134,0.9383577364060629,0.9805058981812319,-0.0021931028490030533,0.017290280592906253,-0.9444444444444444,False
20,5,extreme_test,combined_extreme_test,standard_extreme_test,20,0.9406635126033214,0.9309867653232909,0.9502372622252024,0.9386859141549445,0.9285715099724786,0.9492236793655362,0.001977598448377088,0.17011443450093033,0.3684210526315789,False
8,3,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9305674813641154,0.9073272292123572,0.9511714296844506,0.9309173572432655,0.9080949187528425,0.9517064824241218,-0.00034987587915003004,0.7173808884143212,-0.10294117647058823,False
8,4,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9336702029228816,0.9242152759375635,0.9428232336395397,0.9334574953023763,0.9238331666286879,0.942729736484329,0.00021270762050508153,0.4523754119873047,0.2,False
8,5,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.907966298279508,0.8991419298355302,0.9165501937028506,0.9071690399445469,0.897520119135041,0.9159967081627965,0.0007972583349612816,0.05316925048828125,0.49523809523809526,False
14,3,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9690807832989397,0.9506382915936116,0.984923028576033,0.9689895511886888,0.9505568617275177,0.9849266094150232,9.123211025078848e-05,0.28504940740261275,0.6666666666666666,False
14,4,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9410120637950803,0.9259562302986065,0.9540438185627172,0.9395468116068976,0.9244531919730629,0.9525055966212904,0.0014652521881827474,0.023095732617466558,0.6666666666666666,False
14,5,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.930196191151081,0.9168323619215625,0.9432313201398348,0.929939102023444,0.9166872655264112,0.9430403493718407,0.0002570891276370002,0.5861743444807836,0.1503267973856209,False
20,3,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9422941651585119,0.9016132397328444,0.9751242670764085,0.9416946536700342,0.9008620272409845,0.9744144493423675,0.0005995114884777053,0.31731050786291415,1.0,False
20,4,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9611903312565102,0.9355088221272299,0.9789793192676175,0.9612780604612896,0.935743975371428,0.9789231587524265,-8.772920477927438e-05,0.5929800980174267,-0.3333333333333333,False
20,5,extreme_test,combined_extreme_test,kernel_extreme_test,20,0.9406635126033214,0.9309867653232909,0.9502372622252024,0.9401190257260487,0.9306433509662182,0.9495638473324506,0.0005444868772728429,0.1823383541807685,0.4358974358974359,False
8,3,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9305674813641154,0.9073272292123572,0.9511714296844506,0.9329043915565567,0.9109889543358374,0.952694339378194,-0.002336910192441433,0.03947435091450279,-0.5686274509803921,False
8,4,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9336702029228816,0.9242152759375635,0.9428232336395397,0.9341007116580137,0.923796606452615,0.943897703938279,-0.00043050873513215124,0.5705966949462891,-0.1523809523809524,False
8,5,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.907966298279508,0.8991419298355302,0.9165501937028506,0.9078816163568311,0.8983717461872345,0.9171638087456734,8.468192267715446e-05,0.5958194732666016,0.14285714285714285,False
14,3,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9690807832989397,0.9506382915936116,0.984923028576033,0.9711287179886913,0.9524106173919511,0.9869346656494613,-0.0020479346897516624,0.07473549830588248,-0.8095238095238095,False
14,4,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9410120637950803,0.9259562302986065,0.9540438185627172,0.9406180341145157,0.926010752315169,0.9531140459452502,0.000394029680564606,0.5540338584644351,0.16339869281045752,False
14,5,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.930196191151081,0.9168323619215625,0.9432313201398348,0.9306750166818183,0.9176935314473528,0.943608934814703,-0.00047882553073724245,0.5958194732666016,-0.14285714285714285,False
20,3,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9422941651585119,0.9016132397328444,0.9751242670764085,0.9418341936398689,0.9009584880272712,0.9745126299904825,0.00045997151864305975,0.7150006546880893,0.2,False
20,4,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9611903312565102,0.9355088221272299,0.9789793192676175,0.9613882641043234,0.9357136769206017,0.9791414345837641,-0.0001979328478132203,0.6001794871405538,-0.23809523809523808,False
20,5,extreme_test,combined_extreme_test,logistic_extreme_test,20,0.9406635126033214,0.9309867653232909,0.9502372622252024,0.9396530517203587,0.9298677534203783,0.9493810129924835,0.0010104608829628325,0.2329791081812146,0.35,False
8,3,extreme_test,kernel_extreme_test,standard_extreme_test,20,0.9309173572432655,0.9080949187528425,0.9517064824241218,0.9309501701960343,0.9092562635922968,0.9507548405806475,-3.2812952769051273e-05,0.981116590883351,-0.006535947712418301,False
8,4,extreme_test,kernel_extreme_test,standard_extreme_test,20,0.9334574953023763,0.9238331666286879,0.942729736484329,0.9324099194607092,0.9209113246055762,0.9429680654794721,0.001047575841667231,0.5705966949462891,0.1523809523809524,False
8,5,extreme_test,kernel_extreme_test,standard_extreme_test,20,0.9071690399445469,0.897520119135041,0.9159967081627965,0.9040114528653037,0.8945309809299926,0.9133717593382916,0.0031575870792432347,0.00485992431640625,0.6952380952380952,False
14,3,extreme_test,kernel_extreme_test,standard_extreme_test,20,0.9689895511886888,0.9505568617275177,0.9849266094150232,0.9703380234399708,0.9525801379962853,0.9853871471749338,-0.001348472251281957,0.07961580146011343,-0.8666666666666667,False
14,4,extreme_test,kernel_extreme_test,standard_extreme_test,20,0.9395468116068976,0.9244531919730629,0.9525055966212904,0.9371560961455454,0.9224552558683619,0.9497397955665343,0.002390715461352172,0.08969497680664062,0.4380952380952381,False
