n_features,n_classes,K,ovr_union_fidelity_test,ovr_union_complexity,ovr_exact_fidelity_test,ovr_exact_complexity,ovr_union_half_fidelity_test,ovr_union_half_complexity,pairwise_lime_fidelity_test,pairwise_lime_complexity,pairwise_lime_brier_test,contrastive_fidelity_test,contrastive_complexity,contrastive_brier_test,logistic_fidelity_test,logistic_complexity,logistic_brier_test,seed
8,3,4,0.840095603976778,6,0.8373491379066729,4,0.8292383841096775,3,0.8311490509240569,4,0.015969188147512515,0.8452796395532243,4,0.01663992084754524,0.8246487456042144,4,0.018021739167823014,4
8,3,2,0.7969708818022156,2,0.7969708818022156,2,0.7731993497137667,1,0.8000970977822641,2,0.02564698760081902,0.7903856826228978,2,0.025381438356186205,0.8000970977822641,2,0.024974862643192115,4
8,3,4,0.7788852300860086,5,0.7921272468707768,4,0.7969708818022156,2,0.7921952833788698,4,0.020334400312123888,0.7923611607629054,4,0.02015527277013486,0.78477138179349,4,0.023484947075581852,4
8,3,2,0.7703508046088747,3,0.7301944178750814,2,0.726519304092438,2,0.7314729750826665,2,0.028584503764624344,0.7100443922676812,2,0.03313434369142185,0.7107408962431117,2,0.03196229308521217,4
8,3,4,0.8353447301254552,6,0.8013284557125108,4,0.7703508046088747,3,0.7690621865579589,4,0.02246635179225876,0.7701539699554597,4,0.023354260138463735,0.7690621865579589,4,0.022156817236584053,4
8,3,2,0.82082627527551,3,0.8257319900860653,2,0.7962669083105955,1,0.8767019730059094,2,0.02806954308251789,0.830282868741834,2,0.02758825363910413,0.8724240063284134,2,0.025864517084756018,4
8,3,4,0.8263557911966929,6,0.8212680769246699,4,0.82082627527551,3,0.8452523546155565,4,0.02335840971922947,0.8150219178824354,4,0.02579628174518497,0.8364910454417047,4,0.02299382669986874,4
8,3,2,0.7085941057232618,4,0.6167381282995741,2,0.5663433376367748,2,0.62747298376206,2,0.03099128349355672,0.6209396271464553,2,0.0329519127499273,0.6700657498295682,2,0.029098700767564108,4
8,3,4,0.7721446998884366,5,0.7689763993885604,4,0.7085941057232618,4,0.7716833552105601,4,0.019476215618227925,0.764149456948914,4,0.02033004155106956,0.7683509557957954,4,0.01942782164818351,4
8,3,2,0.7850030398818679,3,0.7735541158964132,2,0.7629737588416944,2,0.7753977553121417,2,0.024754253482767517,0.7758149161049278,2,0.02468314756338864,0.7753977553121417,2,0.024415151431704567,4
8,3,4,0.8142593643713127,5,0.8147218894072228,4,0.7850030398818679,3,0.8187358874980513,4,0.017208477825579528,0.8144724255664446,4,0.017421115475297653,0.8075405719811369,4,0.01891645698994444,4
8,3,2,0.7746015236435349,3,0.7655317168665239,2,0.7168085865944013,2,0.7723700754505008,2,0.03490185087931756,0.7482791560011465,2,0.035619978470832536,0.6777516229400763,2,0.04085045598372415,5
8,3,4,0.7996476910369285,7,0.762032691488698,4,0.7746015236435349,3,0.7670934084816671,4,0.03336904466207016,0.7618496420493978,4,0.03419369666548417,0.7713937110378011,4,0.03295867281648287,5
8,3,2,0.7703605735772533,2,0.7703605735772533,2,0.6803771313542163,1,0.7735765371315595,2,0.01993662649076995,0.7772547980480368,2,0.01987744563697947,0.7143248611526459,2,0.032033995029613134,5
8,3,4,0.8151443772618644,4,0.8151443772618644,4,0.7703605735772533,2,0.8234400088187185,4,0.01761306055029576,0.8151919836630026,4,0.017628245152654338,0.7523933974761722,4,0.025159638954482828,5
8,3,2,0.7424830818382623,3,0.7634855153060395,2,0.7604299925906344,2,0.7480750992721662,2,0.024429807100066096,0.7480750992721662,2,0.023890758413877656,0.7290360016039162,2,0.02929434115228682,5
8,3,4,0.7370084809424953,6,0.7348701837484896,4,0.7424830818382623,3,0.7612934719493711,4,0.02381019260089856,0.7600942577040698,4,0.02355884532901657,0.7401073738105559,4,0.023793980432826236,5
8,3,2,0.7429902965261004,3,0.7659784933918558,2,0.7161230385587971,2,0.7500886017073057,2,0.02581973544798286,0.7452116431183053,2,0.02565200031862458,0.7500886017073057,2,0.025521001347004264,5
