n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,5,8,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.8236329966329968,0.8101156565656566,0.8362957491582492,0.8264175084175086,0.8135369107744108,0.838244107744108,-0.0027845117845117897,0.049436621878748865,-0.5424836601307189,False
20,3,6,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.6929583333333331,0.6617119543650793,0.7248860615079364,0.6909940476190476,0.66008685515873,0.7230169146825395,0.0019642857142857075,0.2973336035363796,0.2875816993464052,False
20,3,12,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.7157833530848238,0.6899900452488688,0.7404800754596711,0.7155523504273503,0.6905665376086332,0.7394363618203691,0.00023100265747325044,0.7172177958043885,0.09473684210526316,False
20,4,6,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.730424603174603,0.7063630952380952,0.7536631448412697,0.7281190476190476,0.7055230654761904,0.7504973710317457,0.002305555555555577,0.37186037196538413,0.23976608187134502,False
20,4,12,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.7650615438483086,0.7524031142264598,0.777187708737341,0.7635826061193709,0.7510833878743806,0.7753178140486964,0.0014789377289377403,0.47490501403808594,0.19047619047619047,False
20,5,6,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.7529345238095237,0.7308306051587301,0.7765780753968251,0.7519126984126984,0.7283710317460317,0.7770944444444444,0.0010218253968253932,0.7627687636819157,0.07894736842105263,False
20,5,12,support_stability,fisher_select_support_stability,ridge_select_support_stability,20,0.7809417331034978,0.769398671263377,0.7932949977106226,0.7814759390935861,0.7681433500323206,0.795448426165338,-0.0005342059900883489,0.831310207979425,-0.058823529411764705,False
8,3,2,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.8115277777777777,0.764579861111111,0.8572222222222223,0.7230555555555556,0.6884722222222222,0.7573645833333332,0.08847222222222226,0.01068878173828125,0.638095238095238,False
8,3,5,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.8500595238095234,0.8238883928571427,0.8763303571428571,0.8069196428571427,0.7870975942460317,0.8264196428571428,0.04313988095238097,0.005729764736498867,0.7047619047619048,False
8,4,2,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.8129166666666666,0.7787430555555555,0.8472256944444445,0.7694444444444444,0.7381944444444445,0.7974999999999999,0.04347222222222223,0.03823521434144825,0.5285714285714286,False
8,4,5,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.866785714285714,0.8411304563492062,0.8924608134920634,0.7993551587301586,0.778611111111111,0.8213095238095237,0.06743055555555558,0.000850677490234375,0.8,False
8,5,2,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.83375,0.806388888888889,0.860142361111111,0.7470833333333333,0.7119409722222222,0.7820833333333332,0.0866666666666667,0.0011601184424249896,0.8285714285714286,False
8,5,5,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.8760317460317459,0.8562098214285713,0.8960724206349205,0.7898015873015872,0.7660992063492063,0.8120792410714285,0.08623015873015873,0.0003948211669921875,0.8380952380952381,True
14,3,4,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7529920634920634,0.7117648809523808,0.7948817460317458,0.7158253968253967,0.6756017857142856,0.7530162698412698,0.03716666666666666,0.18418074965866182,0.3473684210526316,False
14,3,8,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7699393939393941,0.7489274410774411,0.7905726851851853,0.7277950012950013,0.7096193376068376,0.7472348063973063,0.04214439264439267,0.0007076263427734375,0.8095238095238095,False
14,4,4,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7958333333333333,0.7737208333333332,0.8188902777777777,0.69275,0.6710473214285714,0.7143501984126983,0.10308333333333337,0.0001114228654633665,0.9857142857142858,True
14,4,8,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.8130892255892256,0.7980396464646466,0.8285492424242425,0.7471902356902358,0.7237673821548821,0.7689218855218857,0.06589898989898994,3.62396240234375e-05,0.9333333333333333,True
14,5,4,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7595317460317459,0.7380311507936506,0.7831984126984126,0.7082619047619046,0.6733404761904761,0.7405644841269841,0.0512698412698413,0.06733069932137338,0.4666666666666667,False
14,5,8,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.8264175084175086,0.8135369107744108,0.838244107744108,0.7407768897768899,0.7278378986753987,0.7526953680578682,0.0856406186406187,3.814697265625e-06,0.9904761904761905,True
20,3,6,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.6909940476190476,0.66008685515873,0.7230169146825395,0.6185198412698412,0.5840690972222221,0.6544818452380952,0.07247420634920633,0.0003223419189453125,0.8476190476190476,True
20,3,12,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7155523504273503,0.6905665376086332,0.7394363618203691,0.6645799576240752,0.6429550884776987,0.6884725530596852,0.05097239280327517,6.29425048828125e-05,0.9142857142857143,True
20,4,6,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7281190476190476,0.7055230654761904,0.7504973710317457,0.6503553391053389,0.6207310155122654,0.6803763933982683,0.07776370851370848,0.0001049041748046875,0.8952380952380953,True
20,4,12,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7635826061193709,0.7510833878743806,0.7753178140486964,0.6737632708278992,0.6551403138667747,0.6912721720165799,0.08981933529147153,1.9073486328125e-06,1.0,True
20,5,6,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7519126984126984,0.7283710317460317,0.7770944444444444,0.6472936507936506,0.6284252976190476,0.665631001984127,0.10461904761904757,1.9073486328125e-06,1.0,True
20,5,12,support_stability,ridge_select_support_stability,pair_lasso_support_stability,20,0.7814759390935861,0.7681433500323206,0.795448426165338,0.6873393216260861,0.6761294847105509,0.697767770730087,0.09413661746749986,1.9073486328125e-06,1.0,True
8,3,2,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.2594990168000172,0.1976748257892272,0.32779571672632096,0.1265400640779287,0.0939483877366789,0.16121661669171647,0.13295895272208855,0.001209259033203125,0.780952380952381,False
8,3,5,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.09360753797832926,0.0685220271726894,0.12141710755461509,0.06014343634392476,0.046756794787743944,0.07461007648837899,0.03346410163440446,0.058258056640625,0.4857142857142857,False
8,4,2,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.24242672733723544,0.2033611529236483,0.28192016095376377,0.125009769655949,0.10141505083110783,0.148740859679817,0.11741695768128646,0.0001678466796875,0.8761904761904762,True
8,4,5,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.11110468609312643,0.09130301736609256,0.1323127386563931,0.048211723069232645,0.03794894143579266,0.05855204173285007,0.06289296302389377,1.33514404296875e-05,0.9619047619047619,True
8,5,2,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.28285739224940915,0.24396285352726751,0.324190034509282,0.12964044189344817,0.10464879200856224,0.15651701416419153,0.153216950355961,1.9073486328125e-06,1.0,True
8,5,5,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.12786718137224418,0.10541092222587074,0.15071794190797108,0.053971512054474945,0.04282726072804044,0.0666194674328421,0.07389566931776922,3.814697265625e-06,0.9904761904761905,True
14,3,4,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.20391779414866837,0.16694500510245694,0.24098119479136432,0.11558804157139484,0.08187167498565323,0.15266642315991227,0.08832975257727359,0.0003948211669921875,0.8380952380952381,True
14,3,8,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.1265095858048803,0.09290895987378926,0.16215090917327238,0.07204954485432429,0.051940221505235286,0.09504536963226631,0.054460040950556024,0.0003223419189453125,0.8476190476190476,True
14,4,4,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.21039273218982096,0.1778799679709371,0.24427281368130419,0.10322129032060004,0.08605312691979035,0.12098392085597576,0.10717144186922094,1.9073486328125e-06,1.0,True
14,4,8,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.13365107154005004,0.11361590168456003,0.15290521588915193,0.06839145935562652,0.05624894593046894,0.08198962071919422,0.0652596121844235,1.9073486328125e-06,1.0,True
14,5,4,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.26680832109120195,0.23087360210155278,0.3023323519952506,0.1244906515345066,0.1083684957132832,0.14177524998221,0.1423176695566954,3.814697265625e-06,0.9904761904761905,True
14,5,8,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.13759401110615113,0.11662866092576431,0.15858540004450894,0.07056549568163331,0.06042257624794291,0.08045929691787675,0.06702851542451782,3.814697265625e-06,0.9904761904761905,True
20,3,6,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.17585453433732218,0.13694373119832787,0.21715427234948295,0.11833923079119482,0.09785610125056872,0.1408245896970467,0.05751530354612733,0.006389617919921875,0.6761904761904762,False
20,3,12,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.12256237863697386,0.09205069821002855,0.15855247192511385,0.10095575644263602,0.0809289798112043,0.12297339546974867,0.021606622194337836,0.3117942810058594,0.26666666666666666,False
20,4,6,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.22588647507352905,0.18178618245578168,0.26966228639734124,0.1261077794669517,0.10439655805676427,0.15110686652986263,0.09977869560657734,3.62396240234375e-05,0.9333333333333333,True
20,4,12,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.13173127238523513,0.11193944603297748,0.15243133176749632,0.10058486120805235,0.08936269233704404,0.11256671892569854,0.031146411177182788,3.814697265625e-06,0.9904761904761905,True
20,5,6,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.21548378660316395,0.1837878739957633,0.24459469887716925,0.11019746262228716,0.0915566616067193,0.129811773172891,0.10528632398087676,1.33514404296875e-05,0.9619047619047619,True
20,5,12,direction_variance,joint_refit_direction_variance,ridge_select_direction_variance,20,0.1430500913404902,0.12528969055561096,0.1607361889430325,0.08199173363809567,0.07187857279275195,0.09258487201260412,0.06105835770239455,1.9073486328125e-06,1.0,True
8,3,2,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.2594990168000172,0.1976748257892272,0.32779571672632096,0.1958626982625863,0.1408508270484354,0.2535833046628865,0.06363631853743101,0.2305126190185547,0.3142857142857143,False
8,3,5,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.09360753797832926,0.0685220271726894,0.12141710755461509,0.06394034594763652,0.04757173814575208,0.08220749100767634,0.029667192030692718,0.005580902099609375,0.6857142857142857,False
8,4,2,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.24242672733723544,0.2033611529236483,0.28192016095376377,0.18764587066914712,0.15212188553081044,0.2236600561858415,0.054780856668088365,0.15364646911621094,0.37142857142857144,False
8,4,5,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.11110468609312643,0.09130301736609256,0.1323127386563931,0.048015968695938126,0.038234478371750334,0.05866016345491264,0.0630887173971883,1.9073486328125e-05,0.9523809523809523,True
8,5,2,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.28285739224940915,0.24396285352726751,0.324190034509282,0.17838827813320862,0.12623864564441079,0.2350086779755054,0.1044691141162005,0.0023250579833984375,0.7428571428571429,False
8,5,5,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.12786718137224418,0.10541092222587074,0.15071794190797108,0.0569316433696922,0.046959591074956945,0.06769782746923962,0.07093553800255195,3.814697265625e-06,0.9904761904761905,True
14,3,4,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.20391779414866837,0.16694500510245694,0.24098119479136432,0.12714886017130508,0.09021095490141956,0.16835769233320982,0.07676893397736333,0.000850677490234375,0.8,False
14,3,8,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.1265095858048803,0.09290895987378926,0.16215090917327238,0.07856683206352788,0.054764745021928234,0.10500069006563884,0.04794275374135244,0.0002613067626953125,0.8571428571428571,True
14,4,4,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.21039273218982096,0.1778799679709371,0.24427281368130419,0.12311449245270537,0.09263890251526943,0.15408438320786538,0.0872782397371156,4.76837158203125e-05,0.9238095238095239,True
14,4,8,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.13365107154005004,0.11361590168456003,0.15290521588915193,0.06457298548374044,0.051890521811247564,0.07898602847150117,0.0690780860563096,1.9073486328125e-06,1.0,True
