n_features,n_classes,ovr_hellinger,fisher_hard_hellinger,fisher_soft_hellinger,seed
8,4,0.01753761930406596,0.07035025617645563,0.04351554067312253,11
8,4,0.02801850605590604,0.056870782280297585,0.05523492463939532,11
8,4,0.024651590459229707,0.0599235722305106,0.05579931262381486,11
8,4,0.022563870626524523,0.06371574876765297,0.049786643952816095,11
8,4,0.023573277789233557,0.05850629710966784,0.038405181193353496,12
8,4,0.026103764248391934,0.05925190098152617,0.0574507570809149,12
8,4,0.02342404188095112,0.06193292748718546,0.05472686073380267,12
8,4,0.026123339811777994,0.06029018850053849,0.04990697839650952,12
8,4,0.03211099622526421,0.06592802073376194,0.05590197483680646,12
8,4,0.014564673104971077,0.06138600524480981,0.027479513088527526,12
8,4,0.028632733887031466,0.061044908413471155,0.05093525427995227,12
8,4,0.02974163034803985,0.05960082821310944,0.060104644304247605,12
8,4,0.026613420802755545,0.062003831004798914,0.053319966146666856,13
8,4,0.02573262640989406,0.06544035665911466,0.0588595252557512,13
8,4,0.02602320632854879,0.06787332032440115,0.05511454270046195,13
8,4,0.02958392023436565,0.06846332950002412,0.0639223629136251,13
8,4,0.028211972921778152,0.06137921048906395,0.06233475298719066,13
8,4,0.025235559336318682,0.05651961340725786,0.04539402147209784,13
8,4,0.0287343592514856,0.0639449661410018,0.06314732266710645,13
8,4,0.02788139915184253,0.06269030643187802,0.06116255098979558,13
8,4,0.019230079475875222,0.06458012334157866,0.03956542259095152,14
8,4,0.024875439321397727,0.08266590626427836,0.0627863510176195,14
8,4,0.023656739404218398,0.06174050227953083,0.037897718879471964,14
8,4,0.026067116749859082,0.0675751820155364,0.05762413568161955,14
8,4,0.014373092408141863,0.06510385063488806,0.025948437180425665,14
8,4,0.031352027522666796,0.08338746171965042,0.07405314778753358,14
8,4,0.02531998232027861,0.07073335191810949,0.05832419131440449,14
8,4,0.02733757029375349,0.08125876856479125,0.07051714125296185,14
8,4,0.024679962082634895,0.06391171194017313,0.053851592803480085,15
8,4,0.026269355330148347,0.06024052092321519,0.057193074300263186,15
8,4,0.024799276167808065,0.06531152706325186,0.06160718760852996,15
8,4,0.017883797796144896,0.07717980142571974,0.05379704542860022,15
8,4,0.024868126329744427,0.06980666019737888,0.06027637238446301,15
8,4,0.0181081801921744,0.05572128831143407,0.04493945202069087,15
8,4,0.02675346019119504,0.08532949109533722,0.06954800743159355,15
8,4,0.023156238503849912,0.05392884528628648,0.046561261705117,15
8,4,0.03216773154962724,0.07118919416454703,0.06387037194679367,16
8,4,0.025583616267032344,0.06743048632920974,0.06779256269362136,16
8,4,0.019202686689259067,0.061771866364549004,0.03777859335228666,16
8,4,0.025810674569237347,0.05905403449438724,0.042872042680846434,16
8,4,0.023175784461614606,0.07099208094053727,0.037480373750268324,16
8,4,0.018680992001172844,0.053622725938534274,0.03926532315015396,16
8,4,0.022603923449235258,0.06138170051919706,0.04795886946057051,16
8,4,0.029877238402549855,0.059401929200430144,0.055488063102389865,16
8,4,0.024789102952787065,0.05689862816658599,0.03923035022698165,17
8,4,0.018098052706550672,0.0791318536819399,0.04808962176173135,17
8,4,0.024829905887220036,0.0844772717231331,0.0436951076869618,17
8,4,0.02341925912958743,0.07425096404011353,0.050361982995474126,17
8,4,0.020989420069047957,0.08020683668730208,0.04827041711183137,17
8,4,0.021505707350244,0.05762134429913967,0.03462368074215899,17
8,4,0.016506288797154784,0.0710270567076098,0.032182448606396706,17
8,4,0.02428076408081039,0.06684598459511924,0.04827896809283605,17
8,4,0.026521958122372208,0.07023817065730056,0.05908725492879964,18
8,4,0.020862189831283573,0.06503669126063473,0.04135355202190884,18
8,4,0.02625605064495303,0.07687337052144169,0.06418404385952681,18
8,4,0.022098271662381493,0.07728058496030919,0.03935667566200865,18
8,4,0.018771381739310065,0.06955565663365144,0.040364097701697466,18
8,4,0.025281944518910106,0.06799599963601018,0.053284331233363305,18
8,4,0.023016621236459783,0.08177152872608512,0.05569043008186053,18
8,4,0.023052818202633128,0.07378035904133166,0.03612606432799486,18
8,4,0.023928018070175094,0.051333229840335205,0.05071902316569052,19
8,4,0.023655937604155613,0.05243316993912614,0.04202070744786823,19
8,4,0.028197100898434996,0.06909241039261217,0.06310674677993365,19
8,4,0.022367439146651878,0.0685608859485209,0.0523330649887876,19
8,4,0.02614426912951617,0.08222743105604731,0.05637971891409832,19
8,4,0.016428955684177526,0.06751223804523339,0.025977927141059638,19
8,4,0.02648203116366222,0.04704747384302765,0.04247299974234965,19
8,4,0.02289114840991774,0.058569187755588885,0.04527829185994377,19
8,5,0.04147272980441927,0.08559229300540647,0.0774639188771076,0
8,5,0.03488766335656934,0.09509188754182857,0.08355784469740732,0
8,5,0.045045157169925645,0.1048726709122313,0.09689262467466542,0
8,5,0.040547323279065975,0.08502199748457394,0.08102701870634305,0
8,5,0.03959556007429816,0.09516170585849917,0.0937465865914755,0
8,5,0.02497025505451145,0.10414005641936211,0.05935579777096498,0
8,5,0.0292255352782173,0.09299690690917534,0.06422821291341084,0
8,5,0.03963187936684538,0.08553271384552254,0.0839375172789145,0
8,5,0.0349525283340277,0.08650928337442271,0.07563364039482112,1
8,5,0.025117558516098752,0.07110495809526417,0.04939007435029249,1
8,5,0.03700385937976278,0.07173072707675462,0.06601143993327425,1
8,5,0.038070176370108684,0.09017450560493113,0.08350056393318384,1
8,5,0.030006001454644413,0.09987241583346403,0.07474865427452576,1
8,5,0.04063663397984149,0.09136081015893711,0.09290392562495958,1
8,5,0.029926316255788992,0.06655829382073733,0.05564749344127808,1
8,5,0.031015614064452593,0.09201821385555012,0.0619539019475533,1
8,5,0.028617399794898694,0.09148819436502646,0.08217056349051813,2
8,5,0.03296860481859599,0.07597196686371246,0.06623444188797373,2
8,5,0.03141162158677664,0.09145612814967159,0.08143773841902256,2
8,5,0.03298760011646099,0.08967209729756594,0.07355073464076371,2
8,5,0.029922492918163856,0.0685467710977611,0.05984875319223868,2
8,5,0.026211773051951978,0.09053200944033371,0.0682445615948846,2
8,5,0.029569087914528915,0.10222267089413138,0.08206970851642076,2
8,5,0.012082436013035477,0.0846483056776963,0.024857319004292555,2
8,5,0.02818506473146771,0.10319102084640372,0.07322744385753381,3
8,5,0.036415738319950354,0.07036781444083134,0.06662514403426945,3
8,5,0.04036501415558812,0.0962436212114156,0.0935542405933644,3
8,5,0.02921954744906478,0.09379534124516563,0.0731357439143387,3
8,5,0.03381364036262305,0.07518830515883157,0.07261853300409582,3
8,5,0.03225183767940517,0.09563731998294749,0.07818006029376147,3
8,5,0.03579126750387828,0.06533024059975728,0.06080390302593518,3
8,5,0.03171430875060828,0.10186910656958871,0.08222223071168594,3
8,5,0.03484286540517667,0.08502154224439425,0.0804515772712343,4
8,5,0.029312108796346437,0.062473179144009815,0.05868634794680669,4
8,5,0.037821706664501284,0.09562722664650311,0.085492227169058,4
8,5,0.028758310266778914,0.09194668541252701,0.06815817911591503,4
8,5,0.029926055177985716,0.07818683702502618,0.06519990054183084,4
8,5,0.02749985108373825,0.07764511294789393,0.06150415183529515,4
8,5,0.028174159162496593,0.08347239880477167,0.06188667428760334,4
8,5,0.029575027751897656,0.06993156339344739,0.06339609456786666,4
8,5,0.027674439264496923,0.07171268153468834,0.057117069967745564,5
8,5,0.033965596308344365,0.07598656941934862,0.072725802359662,5
8,5,0.030107580621707927,0.0687860090000701,0.06264068850952578,5
8,5,0.023898109418937438,0.06655093139381392,0.05652560656318237,5
8,5,0.029758987731302693,0.08348969982242195,0.056031875385959065,5
8,5,0.030659817292330947,0.08335052189068023,0.060254297859882476,5
8,5,0.028637505404827165,0.07667641480918577,0.0631409595448101,5
8,5,0.032735704187757744,0.07264111273054787,0.07262960683026037,5
8,5,0.03790689988606435,0.07551917108191564,0.07619612931981051,6
8,5,0.03909338478994775,0.09500794952193616,0.09580834744393438,6
8,5,0.028343050818575063,0.09064832640615766,0.0743806717038677,6
8,5,0.04096669872584725,0.09338224144754059,0.09460531547254886,6
8,5,0.027928962980738676,0.0828913353560567,0.06435632770461781,6
8,5,0.02920584812122134,0.08294190053772664,0.06996147729170746,6
8,5,0.035725784117305336,0.08537038181139998,0.07972920347895422,6
8,5,0.027436753535099088,0.09707689935064095,0.07212589763801794,6
8,5,0.03920139009707347,0.0788186601748736,0.0686398686456663,7
