n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,4,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.8868266839842299,0.8623978376367482,0.9067830740978378,0.9141596149136684,0.8899461669628764,0.9325693283524049,-0.027332930929438504,1.9073486328125e-05,-0.9523809523809523,True
8,5,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.8640967215487722,0.8503200716411246,0.8781866927324151,0.8847300890138049,0.8750766342676533,0.8941807594532166,-0.020633367465032682,2.6702880859375e-05,-0.9428571428571428,True
14,3,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.9305863945575151,0.9057698016779209,0.9540778615159418,0.9737868240045351,0.955461626208058,0.9881474162608357,-0.04320042944701998,0.0002332293340495912,-0.9883040935672515,True
14,4,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.9120764308662948,0.8989407928247686,0.9247721063389346,0.9480264808781254,0.9320693179850252,0.9638534365146948,-0.0359500500118305,3.814697265625e-06,-0.9904761904761905,True
14,5,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.8947811773658895,0.8806875469135101,0.9085188697413003,0.9154303073991142,0.9036910389685284,0.9268652953217492,-0.02064913003322489,1.9073486328125e-06,-1.0,True
20,3,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.9429402568558991,0.9132954723973087,0.9674181230369339,0.9620696052314249,0.9297146412667772,0.9869747885688573,-0.019129348375525594,0.0027077077180259045,-0.8529411764705882,True
20,4,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.9232579689010137,0.906882946518751,0.9387519877685447,0.9635609679543089,0.9540548464787609,0.972501983150826,-0.040302999053295166,4.76837158203125e-05,-0.9238095238095239,True
20,5,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.8961193259467803,0.8842526653756712,0.9064158113212074,0.9224900214107136,0.9127207996208839,0.9311146304458897,-0.026370695463933298,3.814697265625e-06,-0.9904761904761905,True
8,3,moderate_fidelity,moderate_contrastive,moderate_ovr,20,0.7863067664821302,0.7666529119684343,0.8079528049330387,0.7940096859058863,0.7742650678867211,0.8165381046027933,-0.0077029194237559825,0.0004825592041015625,-0.8285714285714286,True
8,4,moderate_fidelity,moderate_contrastive,moderate_ovr,20,0.7537783874326589,0.7431449960164436,0.764050663109369,0.759346839304149,0.7495678936184682,0.7685062533185943,-0.005568451871490082,0.009435653686523438,-0.6476190476190476,False
8,5,moderate_fidelity,moderate_contrastive,moderate_ovr,20,0.7419390996613775,0.73179800820983,0.7518916205767486,0.7478647023143596,0.7390388424683121,0.7577416624851956,-0.005925602652982281,0.013616561889648438,-0.6190476190476191,False
14,3,moderate_fidelity,moderate_contrastive,moderate_ovr,20,0.809357072452608,0.7894580614839077,0.829733179581407,0.811041928105287,0.7901638569765753,0.8322248534328119,-0.0016848556526790404,0.026641845703125,-0.5619047619047619,False
14,4,moderate_fidelity,moderate_contrastive,moderate_ovr,20,0.7931626144373488,0.7780139052521183,0.8087781117813442,0.7971749329337177,0.7810387698714422,0.8135895114932463,-0.004012318496368961,0.0014324188232421875,-0.7714285714285715,True
