n_features,n_classes,min_pair_class_frac_hard,centroid_hard,centroid_soft,pooled_hard,pooled_soft,pair_hard,pair_soft,diag_hard,diag_soft,cov_logodds,ovr,contrastive,seed
8,3,0.4697906675146896,0.8333333333333335,0.880952380952381,0.9047619047619048,0.9523809523809524,0.9047619047619048,0.9523809523809524,0.8333333333333335,0.9523809523809524,0.9523809523809524,1.0,1.0,6
8,3,0.48669649111180413,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6
8,3,0.44959803001801246,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,0.9761904761904763,0.9761904761904763,0.9523809523809524,0.9761904761904763,1.0,1.0,6
8,3,0.40962652124275223,0.9047619047619048,0.9047619047619048,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,6
8,3,0.49616540670022424,0.9523809523809524,0.9523809523809524,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9523809523809524,0.9761904761904763,1.0,1.0,1.0,6
8,3,0.424500246634379,0.9285714285714287,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,7
8,3,0.4491937813497446,0.9047619047619048,0.8333333333333335,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,7
8,3,0.4869882064463555,0.9047619047619048,0.9047619047619048,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.8333333333333335,0.880952380952381,1.0,1.0,1.0,7
8,3,0.43865123400544304,0.8333333333333335,0.7857142857142858,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.880952380952381,0.9523809523809524,1.0,0.9761904761904763,1.0,7
8,3,0.48286552821930523,0.7857142857142858,0.7857142857142858,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.8571428571428572,0.8571428571428572,1.0,0.9761904761904763,1.0,7
8,3,0.4482479622829391,0.9761904761904763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
8,3,0.44650345107688827,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,7
8,3,0.4504451129449271,0.9047619047619048,0.9047619047619048,1.0,0.9761904761904763,1.0,0.9761904761904763,0.880952380952381,0.880952380952381,0.9761904761904763,0.9761904761904763,1.0,7
8,3,0.4347947213983341,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,0.9285714285714287,0.9761904761904763,1.0,1.0,1.0,8
8,3,0.4870970695868281,0.9761904761904763,0.9761904761904763,0.9523809523809524,0.9761904761904763,0.9523809523809524,0.9761904761904763,0.9285714285714287,0.9761904761904763,1.0,0.9761904761904763,1.0,8
8,3,0.45052417428797986,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,8
8,3,0.4593960223110353,0.9285714285714287,0.9285714285714287,1.0,0.9761904761904763,1.0,1.0,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,8
8,3,0.4769432583774107,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,8
8,3,0.47290361895007993,0.9523809523809524,0.9285714285714287,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,1.0,1.0,1.0,8
8,3,0.4902602071844773,0.9761904761904763,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904763,1.0,8
8,3,0.4905566080154095,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,8
8,3,0.4569861764591533,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,1.0,0.9285714285714287,0.9285714285714287,1.0,1.0,1.0,9
8,3,0.44446347100983535,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,0.9523809523809524,1.0,0.8333333333333335,0.8571428571428572,1.0,0.9761904761904763,1.0,9
8,3,0.46484433291014243,0.9523809523809524,0.9523809523809524,0.9761904761904763,1.0,0.9761904761904763,1.0,0.880952380952381,0.9285714285714287,1.0,1.0,1.0,9
8,3,0.32567882020935013,0.9285714285714287,0.9285714285714287,0.9285714285714287,1.0,0.9285714285714287,1.0,0.9047619047619048,0.9761904761904763,1.0,0.9761904761904763,1.0,9
8,3,0.4475871394027216,0.9523809523809524,0.9523809523809524,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,9
8,3,0.48237186706619095,0.8333333333333335,0.8333333333333335,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.8333333333333335,0.8571428571428572,1.0,0.9047619047619048,1.0,9
8,3,0.4746917813365015,0.9285714285714287,0.9047619047619048,1.0,0.9761904761904763,1.0,0.9761904761904763,0.9047619047619048,0.9285714285714287,1.0,0.9761904761904763,1.0,9
8,3,0.4658894888117105,0.9047619047619048,0.9285714285714287,0.9761904761904763,0.9523809523809524,0.9285714285714287,0.9523809523809524,0.9523809523809524,1.0,0.9761904761904763,0.9761904761904763,1.0,9
