n_features,n_classes,standard_fidelity_train,standard_extreme_train,standard_moderate_train,standard_fidelity_test,standard_extreme_test,standard_moderate_test,kernel_fidelity_train,kernel_extreme_train,kernel_moderate_train,kernel_fidelity_test,kernel_extreme_test,kernel_moderate_test,logistic_fidelity_train,logistic_extreme_train,logistic_moderate_train,logistic_fidelity_test,logistic_extreme_test,logistic_moderate_test,combined_fidelity_train,combined_extreme_train,combined_moderate_train,combined_fidelity_test,combined_extreme_test,combined_moderate_test,standard_direction_variance,kernel_direction_variance,logistic_direction_variance,combined_direction_variance,seed
8,3,0.8368047694936831,1.0,0.8104121048069513,0.8257281572628031,0.9753788101291159,0.8009814925888288,0.8608230259772504,1.0,0.8383147014624952,0.8413976917992609,0.9753788101291159,0.8192421866648136,0.8555540815748158,1.0,0.8321936397375445,0.833903682271963,0.9753788101291159,0.810508946053096,0.8764801500587381,1.0,0.8565039658801878,0.8474899802125772,0.9753788101291159,0.8263419135060539,0.006315750631582969,0.005753633939964145,0.005085804082549912,0.005455542383931502,1
8,3,0.8449208950205508,0.9894894790309632,0.8097889364375443,0.7922423657869037,1.0,0.7407202727953102,0.8585579359257668,0.9894894790309632,0.8267399473837364,0.7929839923178899,1.0,0.7416458162795251,0.8517901087282025,0.9894894790309632,0.8183274542552623,0.8040324065285184,1.0,0.7554341414759794,0.8612552179581493,0.9894894790309632,0.8300927023966214,0.7883015441559689,1.0,0.7358021615485141,0.012594908685928965,0.009997634444318504,0.010216541831650848,0.009679845590670668,1
8,3,0.8821481727134193,1.0,0.8602464026053697,0.8719630231911899,1.0,0.846274216512252,0.8907060261493358,1.0,0.870394661068406,0.8853733644393372,1.0,0.8623751528713467,0.8894024495729015,1.0,0.8688488257578252,0.8853733644393372,1.0,0.8623751528713467,0.9025505086184024,1.0,0.8844403409058892,0.8967350819762581,1.0,0.8760164381754952,0.008028083533985143,0.005395079758499,0.005386723133528994,0.005269154530174534,1
8,3,0.847149996312158,1.0,0.8192612512309658,0.8460444142151001,0.9871212408665224,0.8189950764050599,0.8611431706628143,1.0,0.8358075957675981,0.8513092755075038,0.9871212408665224,0.8252693948492967,0.8611431706628143,1.0,0.8358075957675981,0.855374252925964,0.9871212408665224,0.8301137699193203,0.8625003193937857,1.0,0.837412367488966,0.857893473889074,0.9871212408665224,0.8331160132218657,0.008103132846189402,0.0058694307090573624,0.005856071958725803,0.00565339157424655,1
8,3,0.8496622230766101,1.0,0.8141482851120261,0.8738561487460469,0.9921129277827353,0.8478164101823724,0.8568442338167572,1.0,0.8230268852863548,0.8664883795647196,0.9921129277827353,0.8388262834090144,0.8547068355407155,1.0,0.8203845744638167,0.8675648080167425,0.9921129277827353,0.8401397377271358,0.8549560520770497,1.0,0.8206926628339127,0.8644561289824955,0.9921129277827353,0.8363465381944482,0.012760285392789086,0.00904732319107424,0.008720447239470675,0.009216757067575338,1
8,3,0.8280037633268837,0.9697574917324592,0.8106669058338575,0.8653921220503289,1.0,0.8437861559517416,0.836809246397196,1.0,0.8168505837841277,0.8684402078673401,1.0,0.8473234912824591,0.836809246397196,1.0,0.8168505837841277,0.8734235313472976,1.0,0.8531066900728834,0.8563095773592817,1.0,0.8387358570172855,0.8750027299634373,1.0,0.8549393665112943,0.013493982991473984,0.010715755286041276,0.009929178105724414,0.010146027466813645,1
8,3,0.8765555199022032,0.978704906914096,0.848761834860085,0.8611001105414569,0.9536120988450183,0.8353097592306528,0.8823663435983475,0.978704906914096,0.8561537175167411,0.8709457989123265,0.9536120988450183,0.8479002136219889,0.8895168978575537,0.978704906914096,0.8652498561673033,0.8588378447838945,0.9536120988450183,0.8324168224680039,0.891753845595043,0.978704906914096,0.8680954519122862,0.8728135375274009,0.9536120988450183,0.850288637565774,0.009979410570202518,0.006506629295499998,0.006134580980618457,0.006727879366862871,2
8,3,0.8007599197649317,0.9422769805247543,0.7476000264373082,0.8762962084442628,0.9547824628001762,0.8420641956291216,0.8414258001911094,0.9345181876200697,0.8064562964523609,0.8871346454086758,0.9435678562978618,0.8625211329635806,0.8279390657078214,0.9345181876200697,0.7879033645606462,0.8856410104874713,0.9547824628001762,0.8554847608224923,0.8449608226875215,0.9474638007346562,0.8064562964523609,0.8871346454086758,0.9435678562978618,0.8625211329635806,0.03613638779994321,0.036459756576807646,0.03338696057968577,0.0351488802586975,2
8,3,0.8603322753665865,0.9472376620484159,0.8352549005547855,0.8518334694871637,0.8830257250550071,0.844803178362941,0.8684127405147388,0.9648036742040703,0.840598221013933,0.8514397096153549,0.9031564900464725,0.8397834822659906,0.8684127405147388,0.9648036742040703,0.840598221013933,0.8603929925835341,0.9400065970660055,0.8424492175415812,0.8717392605379726,0.9648036742040703,0.8448846399873552,0.8625217231945392,0.9483159742163415,0.8431849182573001,0.07369834738680135,0.07753857507655917,0.07043994805360868,0.07991150616991187,2
8,3,0.9182506209976854,0.9907448786736128,0.8928915409740731,0.9045442423712365,0.9392984648231365,0.8934800602172677,0.9087022203664631,0.9907448786736128,0.8800030322643996,0.9109364412006664,0.9392984648231365,0.9019072478113314,0.9172636610236623,0.9907448786736128,0.8915593343865424,0.9083874860770207,0.9392984648231365,0.8985468199571606,0.916574793017514,0.9907448786736128,0.8906294947579009,0.9097296389693964,0.9392984648231365,0.9003162539978997,0.07718159520763335,0.0881439111157082,0.08526049837505789,0.09653970935642046,2
8,3,0.7976627129220701,0.9256016247330126,0.7552451808098785,0.8347641359742698,0.9092439506885156,0.8023222116755073,0.7871384116045179,0.9338920614755599,0.738482943398059,0.8385222987866292,0.9092439506885156,0.8077173553789813,0.7834973100539335,0.9338920614755599,0.7336346521054365,0.8401052835513596,0.9198493931915613,0.8053703372018647,0.7930170363572329,0.9338920614755599,0.7463105979705077,0.8507001683253813,0.9198493931915613,0.8205801428254033,0.03529956481654742,0.03230628789097526,0.031915449389940245,0.031478405472183474,2
8,3,0.9086715516214354,0.9733667554633006,0.8885367687967279,0.8906419983836322,0.9822390388630948,0.8662902259505493,0.9101912951129421,0.9797695968171657,0.8885367687967279,0.8915987033403576,0.9867943049877551,0.8662902259505493,0.9086715516214354,0.9733667554633006,0.8885367687967279,0.8915987033403576,0.9867943049877551,0.8662902259505493,0.9122821982533553,0.9885787946648179,0.8885367687967279,0.8954773283330373,0.9867943049877551,0.8712000130056777,0.14015823595292165,0.22160527292124546,0.17921911835766174,0.2337375621269355,2
8,3,0.8599459221942397,0.9584015826933108,0.7774078084146826,0.8017520684539574,0.9635768517672859,0.7088401151733625,0.8675447156742004,0.9512915353325537,0.7973374315566718,0.7958592894971585,0.9296339838705209,0.7190523387986494,0.8614949998459827,0.9480163811468891,0.7889617236688748,0.7987353962325945,0.9377703839949533,0.7189082398301524,0.8787758190221236,0.9410476940810368,0.826571577205804,0.7794677435045113,0.905570875960909,0.7070654321191175,0.012286287073301903,0.019092432796670153,0.016104298367268316,0.02330049194510926,2
8,3,0.8415532346012952,0.8751132646005522,0.8329890674100898,0.8241350662173949,0.9185066262050032,0.7932213435044203,0.8457153145065235,0.9128263881726981,0.828589273341747,0.8203200915223154,0.9319167699578635,0.7837638581263799,0.8515199576841396,0.9279438194051145,0.8320173908154428,0.8203200915223154,0.9319167699578635,0.7837638581263799,0.8515775901260552,0.9128263881726981,0.8359475401307654,0.8313956562300939,0.9678373839091503,0.7867008166353752,0.04376830725756685,0.02579253133390408,0.02544327073112808,0.024128864672466402,2
8,3,0.8064288106190209,1.0,0.7552084810415512,0.8146247499073855,1.0,0.7605500930885709,0.8472846770495218,1.0,0.8068751037133886,0.8513564600643106,0.9960311196007504,0.8091543184035263,0.8303839752540373,1.0,0.7855023546115694,0.8415981075071239,0.9960311196007504,0.796549417747911,0.8391357555545975,1.0,0.796569918954258,0.8580630882408433,0.9960311196007504,0.8178172952127715,0.006233227424450204,0.005166308413984003,0.004621267792149237,0.005540585808277659,3
