n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,5,extreme,logistic_extreme,ridge_extreme,20,0.9172487162158907,0.9050259403956377,0.9288544404812461,0.9116422035597846,0.8990752558280654,0.9235319346880508,0.005606512656106117,5.7220458984375e-06,0.9809523809523809,True
14,3,extreme,logistic_extreme,ridge_extreme,20,0.974364434897802,0.9561678203481594,0.9890643104853036,0.9738155860951518,0.9556734170384593,0.9885266363002468,0.0005488488026500094,0.07961580146011343,0.8666666666666667,False
14,4,extreme,logistic_extreme,ridge_extreme,20,0.9650573274374319,0.9532836640470629,0.9752649377022452,0.965239717277143,0.9521093663748955,0.9764023555794806,-0.00018238983971080036,0.7764250047999479,0.08333333333333333,False
14,5,extreme,logistic_extreme,ridge_extreme,20,0.9311330707631372,0.9166210415219882,0.9431469587636874,0.9292941222883814,0.9144272323377952,0.9414509126225327,0.0018389484747560081,0.013870680857770913,0.6608187134502924,False
20,3,extreme,logistic_extreme,ridge_extreme,20,0.9865054868291272,0.9734563266852261,0.9961433107127419,0.9865957762751277,0.9737389588930774,0.9960034270319563,-9.028944600023014e-05,0.6547208460185769,-0.3333333333333333,False
20,4,extreme,logistic_extreme,ridge_extreme,20,0.9654576194511465,0.9557936758004484,0.9748775806348432,0.9657330902503961,0.9561034712525772,0.974955828594844,-0.00027547079924958306,0.9374729223624751,0.02564102564102564,False
20,5,extreme,logistic_extreme,ridge_extreme,20,0.9512341350737206,0.9444477317763635,0.958462082413772,0.9502635656801198,0.9433870512403073,0.9575816808125168,0.0009705693936009119,0.07070932047868624,0.4853801169590643,False
8,3,moderate,logistic_moderate,ridge_moderate,20,0.7890697835689918,0.7711479493371302,0.8061785403213466,0.780689395433425,0.7633633180446411,0.7975286039816041,0.008380388135567069,1.9073486328125e-06,1.0,True
8,4,moderate,logistic_moderate,ridge_moderate,20,0.7703329700689772,0.7590105044635341,0.7825685688805127,0.7609655465750529,0.7503811308172408,0.772393734280638,0.00936742349392417,1.33514404296875e-05,0.9619047619047619,True
8,5,moderate,logistic_moderate,ridge_moderate,20,0.75932123348233,0.7495779427777222,0.7693382225838628,0.7455994964876053,0.735415798315443,0.7559796803847142,0.013721736994724825,1.9073486328125e-06,1.0,True
14,3,moderate,logistic_moderate,ridge_moderate,20,0.8107298326135268,0.7945591956310464,0.8273255007676471,0.8079218096261374,0.7917197086395346,0.8245306927381679,0.0028080229873894747,0.0001049041748046875,0.8952380952380953,True
