n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,3,pooling costs?,pair_hard,pooled_hard,20,0.9494230769230768,0.9383234890109892,0.9585446428571428,0.9501098901098899,0.9373351648351649,0.9598358516483515,-0.0006868131868131899,0.13195914421349833,-0.40350877192982454,False
14,4,pooling costs?,pair_hard,pooled_hard,20,0.9506593406593404,0.9418681318681319,0.9588461538461539,0.9498076923076922,0.9412637362637364,0.9579395604395604,0.0008516483516483653,0.8226844404866703,0.05714285714285714,False
14,5,pooling costs?,pair_hard,pooled_hard,20,0.9539285714285715,0.9483516483516483,0.9589567307692308,0.9524725274725274,0.9462637362637363,0.9585714285714285,0.001456043956043962,0.6675500722926956,0.10952380952380952,False
20,3,pooling costs?,pair_hard,pooled_hard,20,0.9450093984962405,0.9366635338345863,0.9524908364661652,0.9462124060150376,0.9383453947368422,0.9531675281954886,-0.0012030075187970002,0.49372625862330555,-0.17894736842105263,False
20,4,pooling costs?,pair_hard,pooled_hard,20,0.9421052631578949,0.9337591635338345,0.9504795582706766,0.9406954887218044,0.9319544172932329,0.9492960526315789,0.0014097744360902277,0.35466939531524566,0.24210526315789474,False
20,5,pooling costs?,pair_hard,pooled_hard,20,0.9446804511278195,0.9372462406015037,0.9514006109022555,0.9447932330827067,0.9349149436090225,0.9523310620300751,-0.00011278195488721443,0.7651587300879816,-0.0761904761904762,False
8,3,pooling costs?,pair_soft,pooled_soft,20,0.9857142857142858,0.980357142857143,0.9904761904761905,0.9834821428571431,0.9784226190476192,0.9880952380952379,0.0022321428571428436,0.20696432774396323,0.41025641025641024,False
8,4,pooling costs?,pair_soft,pooled_soft,20,0.9879464285714287,0.9830357142857145,0.991964285714286,0.9866071428571429,0.9818452380952379,0.9904761904761905,0.0013392857142857095,0.16067397307892106,0.44871794871794873,False
8,5,pooling costs?,pair_soft,pooled_soft,20,0.9834821428571429,0.979761904761905,0.9873511904761907,0.9808035714285717,0.9754464285714288,0.9857142857142858,0.0026785714285714303,0.2513436943980015,0.3137254901960784,False
14,3,pooling costs?,pair_soft,pooled_soft,20,0.9836538461538463,0.9784333791208791,0.9879945054945054,0.9833791208791209,0.978323489010989,0.987554945054945,0.0002747252747252682,1.0,0.0,False
