n_features,n_classes,K,pair_lasso_fidelity,fisher_select_fidelity,ridge_select_fidelity,joint_lasso_fidelity,joint_refit_fidelity,pair_lasso_crosspair_overlap,pair_lasso_cycle_residual,fisher_select_crosspair_overlap,fisher_select_cycle_residual,ridge_select_crosspair_overlap,ridge_select_cycle_residual,joint_lasso_crosspair_overlap,joint_lasso_cycle_residual,joint_refit_crosspair_overlap,joint_refit_cycle_residual,pair_lasso_support_stability,pair_lasso_direction_variance,fisher_select_support_stability,fisher_select_direction_variance,ridge_select_support_stability,ridge_select_direction_variance,joint_lasso_support_stability,joint_lasso_direction_variance,joint_refit_support_stability,joint_refit_direction_variance,seed
8,3,2,0.5900222819690628,0.5173377767087005,0.5173377767087005,0.5842386461914799,0.5585269697238346,0.1111111111111111,0.6791111700960331,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.511111111111111,0.33312451032852475,1.0,0.03663251035630771,1.0,0.03663251035630771,0.46666666666666656,1.9991694598655573e-06,0.46666666666666656,0.5213057077071561,0
8,3,5,0.6879957219409923,0.6426795924085614,0.6426795924085614,0.6297681771207804,0.703108468526293,0.5873015873015873,0.9569364398781032,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.14437755066894076,0.7365079365079363,0.44820518433424417,0.7365079365079363,0.44820518433424417,0.8888888888888888,0.14939109198565664,0.8888888888888888,0.16788967992111647,0
8,3,2,0.8183874255876732,0.7951002181902385,0.7951002181902385,0.8183874255876732,0.8310688531764427,0.5555555555555555,0.03196291918867096,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.7285572987296797e-07,1.0,0.008449111572535898,1.0,0.008449111572535898,0.7777777777777779,0.3307824686783989,0.7777777777777779,0.16067118542213668,0
8,3,5,0.838806224523233,0.8130633229142059,0.8130633229142059,0.8317928043361865,0.8219761725086437,0.6190476190476191,0.16769448331923803,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7111111111111109,0.10585244463118888,0.7999999999999999,0.022130916627919252,0.7999999999999999,0.022130916627919252,0.6698412698412698,0.015725512660864437,0.6698412698412698,0.22733598195620525,0
8,3,2,0.6470952339158144,0.6745253719509751,0.6745253719509751,0.6441108405595257,0.6935161547259726,0.2222222222222222,1.9564067562883323,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.49225243477038816,0.5999999999999999,0.42455883459426613,0.5999999999999999,0.42455883459426613,0.511111111111111,1.6912022627838682e-06,0.511111111111111,0.22744550345971365,0
8,3,5,0.8224787140121573,0.8107393299128888,0.8107393299128888,0.7698237843730551,0.8144551540814663,0.5873015873015873,0.4723101051727937,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6571428571428571,0.008619941805210264,0.8222222222222221,0.03374019760107303,0.8222222222222221,0.03374019760107303,0.8,0.032118759678242834,0.8,0.04580846918827473,0
8,3,2,0.796573237972271,0.6272244717328538,0.6272244717328538,0.675298129451585,0.8094188646794234,0.2222222222222222,0.6069243805782363,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6444444444444444,1.519883343229937e-07,0.511111111111111,0.3192195652228209,0.511111111111111,0.3192195652228209,0.511111111111111,2.8741330503583775e-05,0.511111111111111,0.23940954925288918,1
8,3,5,0.8465239064973787,0.8225393459585408,0.8292048064178865,0.7619991870826422,0.7759966393175897,0.38888888888888884,0.8655060353749078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6857142857142857,0.021526152905954818,0.7555555555555554,0.020844045017986323,0.7555555555555554,0.01802113820050819,0.7079365079365079,0.15525919618854744,0.7079365079365079,0.1751055833337168,1
8,3,2,0.8696611340936572,0.8650363264137418,0.8650363264137418,0.45022926037789884,0.8615185669233062,0.3333333333333333,2.264952269136296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6444444444444445,4.793495933177218e-09,1.0,0.002435428998428629,1.0,0.002435428998428629,1.0,0.0018757789200439545,1.0,0.00023094016115160756,1
8,3,5,0.8776876985354896,0.8504913031309702,0.8504913031309702,0.8526116460792607,0.8504913031309702,0.7777777777777777,0.3051883467349866,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.018391961556334914,0.7555555555555554,0.018451933423195354,0.8,0.015403917539502345,0.7365079365079363,0.005884096579198634,0.7365079365079363,0.03294910763572408,1
8,3,2,0.8953155978363603,0.8819668115791335,0.8819668115791335,0.5865784906721258,0.8567236332881097,0.5555555555555555,1.364966422013065,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777779,1.5877202258068184e-08,1.0,0.002670016089765633,1.0,0.002670016089765633,1.0,1.9376961516058537e-05,1.0,0.0001778884081908594,1
8,3,5,0.8643535611846553,0.8472362907212391,0.8472362907212391,0.8876332204517506,0.8472362907212391,0.7777777777777777,0.15863132507120023,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.006209923461201338,0.7555555555555554,0.029621598093250004,0.7555555555555554,0.029621598093250004,0.7333333333333332,0.01095826888335454,0.7333333333333332,0.03937917741050921,1
8,3,2,0.7284695108908884,0.6723972640032008,0.6723972640032008,0.5360227330202352,0.784227149973427,0.2222222222222222,1.2961218128111718,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.1926717481445545e-07,1.0,0.004079133018864336,1.0,0.004079133018864336,0.5111111111111111,0.3256901173256302,0.5111111111111111,0.1720723190190358,1
